color,condition,exec_bucket,upside_bucket,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,25,25,-10,145,22.1,23.4,26.5,22.5,-4.4,0.9,0.8,0.23
Blue,Calm,25,25,0,101,26.7,21.8,26.5,22.5,0.2,-0.7,1.04,-0.11
Blue,Calm,25,50,-30,138,25.4,21.0,26.5,22.5,-1.1,-1.5,1.03,-0.27
Blue,Calm,25,50,-20,429,25.6,23.3,26.5,22.5,-0.8,0.8,0.93,-0.01
Blue,Calm,25,50,-10,258,27.1,22.5,26.5,22.5,0.6,-0.0,1.03,-0.32
Blue,Calm,25,50,0,117,27.4,19.7,26.5,22.5,0.9,-2.9,1.18,-0.1
Blue,Calm,25,75,-40,264,23.9,22.7,26.5,22.5,-2.6,0.2,0.89,-0.02
Blue,Calm,25,75,-30,306,20.9,24.5,26.5,22.5,-5.6,2.0,0.73,0.33
Blue,Calm,25,75,-20,58,22.4,31.0,26.5,22.5,-4.1,8.5,0.61,0.37
Blue,Calm,50,25,0,51,23.5,25.5,26.5,22.5,-3.0,3.0,0.78,-0.33
Blue,Calm,50,50,-20,44,18.2,20.5,26.5,22.5,-8.3,-2.1,0.76,0.15
Blue,Calm,50,50,-10,425,27.1,20.7,26.5,22.5,0.6,-1.8,1.11,-0.16
Blue,Calm,50,50,0,1057,28.0,22.8,26.5,22.5,1.5,0.3,1.04,-0.08
Blue,Calm,50,50,10,35,20.0,22.9,26.5,22.5,-6.5,0.3,0.74,-0.13
Blue,Calm,50,75,-40,48,18.8,20.8,26.5,22.5,-7.7,-1.7,0.76,0.18
Blue,Calm,50,75,-30,209,28.2,24.4,26.5,22.5,1.7,1.9,0.98,0.08
Blue,Calm,50,75,-20,445,27.4,24.9,26.5,22.5,0.9,2.4,0.93,-0.1
Blue,Calm,50,75,-10,370,19.7,27.3,26.5,22.5,-6.8,4.8,0.61,0.39
Blue,Calm,50,75,0,200,25.0,26.0,26.5,22.5,-1.5,3.5,0.82,0.07
Blue,Calm,75,50,0,170,27.6,26.5,26.5,22.5,1.2,4.0,0.89,-0.04
Blue,Calm,75,50,10,269,23.8,21.6,26.5,22.5,-2.7,-1.0,0.94,0.01
Blue,Calm,75,50,20,69,20.3,26.1,26.5,22.5,-6.2,3.6,0.66,0.26
Blue,Calm,75,75,0,48,37.5,18.8,26.5,22.5,11.0,-3.8,1.7,-1.03
Blue,Moderate,25,25,-10,111,26.1,26.1,26.1,22.6,0.1,3.5,0.87,0.02
Blue,Moderate,25,25,0,51,43.1,17.6,26.1,22.6,17.1,-5.0,2.12,-0.85
Blue,Moderate,25,50,-30,74,28.4,27.0,26.1,22.6,2.3,4.4,0.91,0.1
Blue,Moderate,25,50,-20,302,25.2,21.9,26.1,22.6,-0.9,-0.8,1.0,-0.04
Blue,Moderate,25,50,-10,135,23.0,25.9,26.1,22.6,-3.1,3.3,0.77,-0.06
Blue,Moderate,25,50,0,76,32.9,15.8,26.1,22.6,6.8,-6.8,1.81,-0.68
Blue,Moderate,25,75,-40,121,19.8,24.8,26.1,22.6,-6.2,2.2,0.69,0.23
Blue,Moderate,25,75,-30,204,26.5,18.6,26.1,22.6,0.4,-4.0,1.23,-0.29
Blue,Moderate,25,75,-20,30,3.3,33.3,26.1,22.6,-22.7,10.7,0.09,1.22
Blue,Moderate,50,25,0,53,26.4,20.8,26.1,22.6,0.4,-1.9,1.11,-0.15
Blue,Moderate,50,50,-20,46,23.9,19.6,26.1,22.6,-2.1,-3.1,1.06,0.01
Blue,Moderate,50,50,-10,316,25.9,20.6,26.1,22.6,-0.1,-2.1,1.1,-0.15
Blue,Moderate,50,50,0,574,28.0,23.5,26.1,22.6,2.0,0.9,1.04,-0.16
Blue,Moderate,50,75,-40,31,19.4,32.3,26.1,22.6,-6.7,9.6,0.52,0.63
Blue,Moderate,50,75,-30,131,27.5,21.4,26.1,22.6,1.4,-1.3,1.12,-0.14
Blue,Moderate,50,75,-20,317,25.6,22.1,26.1,22.6,-0.5,-0.5,1.0,-0.15
Blue,Moderate,50,75,-10,268,27.6,20.5,26.1,22.6,1.6,-2.1,1.17,-0.11
Blue,Moderate,50,75,0,113,21.2,33.6,26.1,22.6,-4.8,11.0,0.55,0.65
Blue,Moderate,75,50,0,159,24.5,25.2,26.1,22.6,-1.5,2.5,0.85,0.13
Blue,Moderate,75,50,10,142,20.4,27.5,26.1,22.6,-5.6,4.8,0.65,0.29
Blue,Moderate,75,50,20,47,36.2,8.5,26.1,22.6,10.1,-14.1,3.69,-0.79
Blue,Tough,25,50,-20,34,26.5,35.3,24.0,23.9,2.5,11.4,0.75,-0.0
Blue,Tough,50,50,0,72,22.2,25.0,24.0,23.9,-1.8,1.1,0.88,-0.07
Blue,Tough,50,75,-20,30,13.3,20.0,24.0,23.9,-10.7,-3.9,0.66,-0.12
Blue,Tough,50,75,-10,34,29.4,29.4,24.0,23.9,5.4,5.5,0.99,-0.77
Green,Calm,25,25,-10,60,28.3,21.7,26.5,22.5,1.8,-0.8,1.11,0.18
Green,Calm,25,25,0,52,23.1,23.1,26.5,22.5,-3.4,0.6,0.85,0.25
Green,Calm,25,50,-30,49,16.3,8.2,26.5,22.5,-10.2,-14.3,1.7,-0.53
Green,Calm,25,50,-20,230,31.3,23.0,26.5,22.5,4.8,0.5,1.15,-0.14
Green,Calm,25,50,-10,157,21.7,21.0,26.5,22.5,-4.8,-1.5,0.88,-0.19
Green,Calm,25,50,0,70,30.0,14.3,26.5,22.5,3.5,-8.2,1.78,-0.35
Green,Calm,25,75,-40,100,23.0,29.0,26.5,22.5,-3.5,6.5,0.67,0.21
Green,Calm,25,75,-30,155,25.2,18.1,26.5,22.5,-1.3,-4.4,1.18,-0.13
Green,Calm,50,25,0,54,22.2,24.1,26.5,22.5,-4.3,1.6,0.78,0.28
Green,Calm,50,50,-20,41,36.6,14.6,26.5,22.5,10.1,-7.9,2.12,-0.24
Green,Calm,50,50,-10,336,25.0,22.0,26.5,22.5,-1.5,-0.5,0.96,-0.12
Green,Calm,50,50,0,974,26.3,22.8,26.5,22.5,-0.2,0.3,0.98,-0.13
Green,Calm,50,50,10,37,29.7,8.1,26.5,22.5,3.2,-14.4,3.12,-0.85
Green,Calm,50,75,-30,47,14.9,25.5,26.5,22.5,-11.6,3.0,0.5,0.34
Green,Calm,50,75,-20,204,31.4,22.5,26.5,22.5,4.9,0.0,1.18,-0.31
Green,Calm,50,75,-10,180,27.2,18.3,26.5,22.5,0.7,-4.2,1.26,-0.26
Green,Calm,50,75,0,119,19.3,21.0,26.5,22.5,-7.2,-1.5,0.78,0.07
Green,Calm,75,50,0,97,22.7,25.8,26.5,22.5,-3.8,3.3,0.75,0.4
Green,Calm,75,50,10,117,29.9,14.5,26.5,22.5,3.4,-8.0,1.75,-0.45
Green,Moderate,25,25,-10,35,28.6,25.7,26.1,22.6,2.5,3.1,0.96,0.06
Green,Moderate,25,25,0,43,18.6,34.9,26.1,22.6,-7.5,12.3,0.46,0.64
Green,Moderate,25,50,-20,147,23.1,27.2,26.1,22.6,-2.9,4.6,0.74,0.07
Green,Moderate,25,50,-10,52,19.2,36.5,26.1,22.6,-6.8,13.9,0.46,0.98
Green,Moderate,25,50,0,50,30.0,22.0,26.1,22.6,3.9,-0.6,1.18,-0.37
Green,Moderate,25,75,-40,47,14.9,25.5,26.1,22.6,-11.2,2.9,0.51,0.45
Green,Moderate,25,75,-30,106,27.4,20.8,26.1,22.6,1.3,-1.9,1.14,-0.12
Green,Moderate,50,25,0,52,21.2,19.2,26.1,22.6,-4.9,-3.4,0.96,0.04
Green,Moderate,50,50,-10,234,28.2,23.5,26.1,22.6,2.1,0.9,1.04,-0.25
Green,Moderate,50,50,0,573,29.8,23.4,26.1,22.6,3.8,0.8,1.11,-0.17
Green,Moderate,50,75,-30,37,27.0,16.2,26.1,22.6,1.0,-6.4,1.45,-0.18
Green,Moderate,50,75,-20,114,28.1,16.7,26.1,22.6,2.0,-6.0,1.46,-0.47
Green,Moderate,50,75,-10,110,27.3,21.8,26.1,22.6,1.2,-0.8,1.09,-0.09
Green,Moderate,50,75,0,40,27.5,25.0,26.1,22.6,1.4,2.4,0.96,-0.12
Green,Moderate,75,50,0,100,23.0,28.0,26.1,22.6,-3.1,5.4,0.71,0.35
Green,Moderate,75,50,10,108,25.9,21.3,26.1,22.6,-0.1,-1.3,1.06,-0.45
Green,Tough,50,50,0,74,20.3,27.0,24.0,23.9,-3.7,3.1,0.75,0.15
Orange,Calm,25,25,-10,143,30.1,21.0,26.5,22.5,3.6,-1.5,1.22,-0.27
Orange,Calm,25,25,0,67,25.4,19.4,26.5,22.5,-1.1,-3.1,1.11,0.07
Orange,Calm,25,50,-40,51,35.3,21.6,26.5,22.5,8.8,-0.9,1.39,-0.64
Orange,Calm,25,50,-30,340,28.2,20.9,26.5,22.5,1.7,-1.6,1.15,-0.22
Orange,Calm,25,50,-20,578,24.9,22.5,26.5,22.5,-1.6,-0.0,0.94,0.01
Orange,Calm,25,50,-10,276,25.4,23.2,26.5,22.5,-1.1,0.7,0.93,-0.13
Orange,Calm,25,50,0,144,24.3,16.0,26.5,22.5,-2.2,-6.5,1.29,-0.17
Orange,Calm,25,75,-40,367,26.7,20.7,26.5,22.5,0.2,-1.8,1.1,-0.17
Orange,Calm,25,75,-30,345,30.4,21.2,26.5,22.5,3.9,-1.4,1.22,-0.29
Orange,Calm,50,25,0,42,26.2,26.2,26.5,22.5,-0.3,3.7,0.85,0.14
Orange,Calm,50,50,-20,38,26.3,21.1,26.5,22.5,-0.2,-1.5,1.06,-0.0
Orange,Calm,50,50,-10,449,30.1,24.9,26.5,22.5,3.6,2.4,1.02,-0.13
Orange,Calm,50,50,0,584,27.1,23.8,26.5,22.5,0.6,1.3,0.97,-0.07
Orange,Calm,50,75,-40,49,42.9,14.3,26.5,22.5,16.4,-8.2,2.55,-1.23
Orange,Calm,50,75,-30,264,27.7,24.6,26.5,22.5,1.2,2.1,0.95,-0.1
Orange,Calm,50,75,-20,287,22.3,23.7,26.5,22.5,-4.2,1.2,0.8,0.06
Orange,Calm,50,75,-10,210,23.3,22.4,26.5,22.5,-3.2,-0.1,0.89,-0.04
Orange,Calm,50,75,0,98,24.5,20.4,26.5,22.5,-2.0,-2.1,1.02,-0.09
Orange,Calm,75,50,0,174,24.7,27.0,26.5,22.5,-1.8,4.5,0.78,0.18
Orange,Calm,75,50,10,205,27.3,27.8,26.5,22.5,0.8,5.3,0.83,0.08
Orange,Calm,75,50,20,57,22.8,26.3,26.5,22.5,-3.7,3.8,0.74,0.46
Orange,Moderate,25,25,-10,147,27.2,19.7,26.1,22.6,1.2,-2.9,1.2,-0.15
Orange,Moderate,25,25,0,65,30.8,20.0,26.1,22.6,4.7,-2.6,1.34,-0.06
Orange,Moderate,25,50,-30,152,20.4,29.6,26.1,22.6,-5.7,7.0,0.6,0.35
Orange,Moderate,25,50,-20,290,29.0,23.8,26.1,22.6,2.9,1.2,1.06,-0.09
Orange,Moderate,25,50,-10,215,27.4,18.6,26.1,22.6,1.4,-4.0,1.28,-0.31
Orange,Moderate,25,50,0,84,32.1,13.1,26.1,22.6,6.1,-9.5,2.13,-0.78
Orange,Moderate,25,75,-40,193,23.8,23.3,26.1,22.6,-2.2,0.7,0.89,0.08
Orange,Moderate,25,75,-30,177,33.3,14.7,26.1,22.6,7.3,-7.9,1.97,-0.68
Orange,Moderate,50,25,0,63,25.4,23.8,26.1,22.6,-0.7,1.2,0.93,-0.28
Orange,Moderate,50,50,-10,247,25.9,21.1,26.1,22.6,-0.1,-1.6,1.07,-0.16
Orange,Moderate,50,50,0,432,23.4,22.5,26.1,22.6,-2.7,-0.2,0.9,0.11
Orange,Moderate,50,75,-40,54,29.6,25.9,26.1,22.6,3.6,3.3,0.99,-0.18
Orange,Moderate,50,75,-30,187,24.6,24.1,26.1,22.6,-1.5,1.4,0.89,0.01
Orange,Moderate,50,75,-20,210,23.8,20.5,26.1,22.6,-2.3,-2.2,1.01,-0.03
Orange,Moderate,50,75,-10,192,27.1,22.9,26.1,22.6,1.0,0.3,1.03,-0.12
Orange,Moderate,50,75,0,44,36.4,25.0,26.1,22.6,10.3,2.4,1.26,-0.24
Orange,Moderate,75,50,0,91,23.1,24.2,26.1,22.6,-3.0,1.5,0.83,0.03
Orange,Moderate,75,50,10,118,24.6,33.1,26.1,22.6,-1.5,10.4,0.65,0.67
Orange,Tough,25,50,-20,32,25.0,15.6,24.0,23.9,1.0,-8.3,1.59,-0.22
Orange,Tough,25,75,-30,31,12.9,25.8,24.0,23.9,-11.1,1.9,0.5,0.65
Pink,Calm,25,50,-30,41,34.1,22.0,26.5,22.5,7.7,-0.6,1.32,-0.14
Pink,Calm,25,50,-20,31,12.9,16.1,26.5,22.5,-13.6,-6.4,0.68,-0.17
Pink,Calm,25,75,-40,38,39.5,28.9,26.5,22.5,13.0,6.4,1.16,-0.15
Pink,Calm,50,50,-10,37,37.8,13.5,26.5,22.5,11.3,-9.0,2.38,-0.96
Purple,Calm,25,25,-10,65,35.4,15.4,26.5,22.5,8.9,-7.1,1.95,-0.85
Purple,Calm,25,25,0,47,21.3,25.5,26.5,22.5,-5.2,3.0,0.71,0.43
Purple,Calm,25,50,-30,62,27.4,19.4,26.5,22.5,0.9,-3.2,1.2,-0.19
Purple,Calm,25,50,-20,316,26.6,23.7,26.5,22.5,0.1,1.2,0.95,0.06
Purple,Calm,25,50,-10,192,25.5,19.8,26.5,22.5,-1.0,-2.7,1.1,-0.36
Purple,Calm,25,50,0,56,37.5,17.9,26.5,22.5,11.0,-4.7,1.78,-0.5
Purple,Calm,25,75,-40,132,27.3,20.5,26.5,22.5,0.8,-2.1,1.13,-0.31
Purple,Calm,25,75,-30,153,24.8,28.1,26.5,22.5,-1.7,5.6,0.75,0.33
Purple,Calm,25,75,-20,48,35.4,8.3,26.5,22.5,8.9,-14.2,3.61,-1.0
Purple,Calm,50,25,0,35,40.0,11.4,26.5,22.5,13.5,-11.1,2.97,-1.04
Purple,Calm,50,50,-20,52,26.9,25.0,26.5,22.5,0.4,2.5,0.92,0.23
Purple,Calm,50,50,-10,323,27.9,27.2,26.5,22.5,1.4,4.7,0.87,0.17
Purple,Calm,50,50,0,1089,26.4,21.4,26.5,22.5,-0.0,-1.1,1.05,-0.16
Purple,Calm,50,50,10,35,34.3,20.0,26.5,22.5,7.8,-2.5,1.46,-0.57
Purple,Calm,50,75,-30,50,26.0,10.0,26.5,22.5,-0.5,-12.5,2.21,-0.62
Purple,Calm,50,75,-20,191,27.2,23.0,26.5,22.5,0.7,0.5,1.0,-0.07
Purple,Calm,50,75,-10,220,20.0,19.1,26.5,22.5,-6.5,-3.4,0.89,0.04
Purple,Calm,50,75,0,146,24.0,25.3,26.5,22.5,-2.5,2.8,0.8,-0.05
Purple,Calm,75,50,0,122,29.5,21.3,26.5,22.5,3.0,-1.2,1.18,-0.03
Purple,Calm,75,50,10,187,28.9,21.9,26.5,22.5,2.4,-0.6,1.12,-0.23
Purple,Calm,75,75,0,41,34.1,14.6,26.5,22.5,7.7,-7.9,1.98,-0.61
Purple,Moderate,25,25,-10,33,27.3,18.2,26.1,22.6,1.2,-4.4,1.3,-0.24
Purple,Moderate,25,25,0,37,24.3,21.6,26.1,22.6,-1.7,-1.0,0.98,0.29
Purple,Moderate,25,50,-30,41,34.1,17.1,26.1,22.6,8.1,-5.6,1.74,-0.54
Purple,Moderate,25,50,-20,198,29.3,22.7,26.1,22.6,3.2,0.1,1.12,-0.26
Purple,Moderate,25,50,-10,45,20.0,11.1,26.1,22.6,-6.1,-11.5,1.56,-0.4
Purple,Moderate,25,50,0,57,29.8,31.6,26.1,22.6,3.8,9.0,0.82,0.22
Purple,Moderate,25,75,-40,56,23.2,26.8,26.1,22.6,-2.8,4.2,0.75,0.0
Purple,Moderate,25,75,-30,120,37.5,18.3,26.1,22.6,11.4,-4.3,1.78,-0.47
Purple,Moderate,50,25,0,45,31.1,13.3,26.1,22.6,5.1,-9.3,2.03,-0.82
Purple,Moderate,50,50,-10,270,23.3,23.7,26.1,22.6,-2.7,1.1,0.85,-0.03
Purple,Moderate,50,50,0,641,27.8,20.4,26.1,22.6,1.7,-2.2,1.18,-0.31
Purple,Moderate,50,75,-30,33,24.2,21.2,26.1,22.6,-1.8,-1.4,0.99,0.34
Purple,Moderate,50,75,-20,122,19.7,32.0,26.1,22.6,-6.4,9.3,0.53,0.63
Purple,Moderate,50,75,-10,124,25.8,25.0,26.1,22.6,-0.3,2.4,0.9,0.4
Purple,Moderate,50,75,0,44,13.6,25.0,26.1,22.6,-12.4,2.4,0.47,0.19
Purple,Moderate,75,50,0,134,26.1,31.3,26.1,22.6,0.1,8.7,0.72,0.11
Purple,Moderate,75,50,10,168,29.2,19.0,26.1,22.6,3.1,-3.6,1.33,-0.4
Purple,Tough,50,50,0,82,23.2,28.0,24.0,23.9,-0.8,4.2,0.82,0.24
Red,Calm,25,50,-20,37,29.7,16.2,26.5,22.5,3.2,-6.3,1.56,-0.5
Red,Calm,25,75,-40,50,30.0,28.0,26.5,22.5,3.5,5.5,0.91,0.01
Red,Calm,25,75,-30,52,25.0,21.2,26.5,22.5,-1.5,-1.4,1.0,-0.05
Red,Calm,50,50,-10,117,17.1,29.9,26.5,22.5,-9.4,7.4,0.49,0.51
Red,Calm,50,50,0,300,21.3,26.0,26.5,22.5,-5.2,3.5,0.7,0.39
Red,Calm,50,75,-10,54,31.5,18.5,26.5,22.5,5.0,-4.0,1.44,-0.64
Red,Calm,75,50,0,47,29.8,21.3,26.5,22.5,3.3,-1.2,1.19,-0.2
Red,Moderate,25,50,-20,42,19.0,31.0,26.1,22.6,-7.0,8.3,0.53,0.59
Red,Moderate,50,50,-10,42,19.0,26.2,26.1,22.6,-7.0,3.6,0.63,0.28
Red,Moderate,50,50,0,142,28.2,26.8,26.1,22.6,2.1,4.1,0.91,-0.01
Yellow,Calm,25,25,-10,227,30.8,20.3,26.5,22.5,4.3,-2.2,1.29,-0.24
Yellow,Calm,25,25,0,174,25.9,21.8,26.5,22.5,-0.6,-0.7,1.01,-0.17
Yellow,Calm,25,50,-40,31,32.3,16.1,26.5,22.5,5.8,-6.4,1.7,-0.41
Yellow,Calm,25,50,-30,148,29.1,25.0,26.5,22.5,2.6,2.5,0.99,-0.24
Yellow,Calm,25,50,-20,633,29.4,18.8,26.5,22.5,2.9,-3.7,1.33,-0.29
Yellow,Calm,25,50,-10,457,26.9,24.5,26.5,22.5,0.4,2.0,0.93,-0.01
Yellow,Calm,25,50,0,136,22.1,18.4,26.5,22.5,-4.4,-4.1,1.02,-0.0
Yellow,Calm,25,75,-40,276,25.4,22.1,26.5,22.5,-1.1,-0.4,0.98,0.09
Yellow,Calm,25,75,-30,384,27.6,24.0,26.5,22.5,1.1,1.4,0.98,0.01
Yellow,Calm,25,75,-20,102,27.5,22.5,26.5,22.5,1.0,0.0,1.03,-0.48
Yellow,Calm,50,25,0,165,33.9,15.2,26.5,22.5,7.5,-7.4,1.9,-0.75
Yellow,Calm,50,50,-20,109,27.5,23.9,26.5,22.5,1.0,1.3,0.98,-0.05
Yellow,Calm,50,50,-10,936,24.5,24.0,26.5,22.5,-2.0,1.5,0.86,0.09
Yellow,Calm,50,50,0,2252,27.1,21.5,26.5,22.5,0.6,-1.0,1.07,-0.12
