condition,round_type,color,chinese_zodiac,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Dog,66,22.7,24.2,23.7,22.7,-0.9,1.6,0.9,0.01
Calm,Closing,Blue,Dragon,69,15.9,20.3,23.7,22.7,-7.7,-2.4,0.75,0.06
Calm,Closing,Blue,Goat,68,20.6,26.5,23.7,22.7,-3.1,3.8,0.75,0.18
Calm,Closing,Blue,Horse,90,27.8,31.1,23.7,22.7,4.1,8.4,0.86,0.07
Calm,Closing,Blue,Monkey,63,23.8,30.2,23.7,22.7,0.1,7.5,0.76,0.24
Calm,Closing,Blue,Ox,76,22.4,21.1,23.7,22.7,-1.3,-1.6,1.02,-0.19
Calm,Closing,Blue,Pig,64,23.4,21.9,23.7,22.7,-0.2,-0.8,1.03,-0.05
Calm,Closing,Blue,Rabbit,89,18.0,21.3,23.7,22.7,-5.7,-1.3,0.81,0.06
Calm,Closing,Blue,Rat,78,32.1,19.2,23.7,22.7,8.4,-3.5,1.6,-0.55
Calm,Closing,Blue,Rooster,81,23.5,19.8,23.7,22.7,-0.2,-2.9,1.14,-0.06
Calm,Closing,Blue,Snake,86,15.1,30.2,23.7,22.7,-8.6,7.5,0.48,0.74
Calm,Closing,Blue,Tiger,64,25.0,17.2,23.7,22.7,1.3,-5.5,1.39,-0.19
Calm,Closing,Green,Dog,43,18.6,23.3,23.7,22.7,-5.1,0.6,0.77,0.18
Calm,Closing,Green,Dragon,46,23.9,21.7,23.7,22.7,0.2,-0.9,1.05,-0.05
Calm,Closing,Green,Goat,38,42.1,23.7,23.7,22.7,18.4,1.0,1.7,-0.24
Calm,Closing,Green,Horse,37,35.1,13.5,23.7,22.7,11.5,-9.2,2.49,-0.95
Calm,Closing,Green,Monkey,35,25.7,20.0,23.7,22.7,2.0,-2.7,1.23,-0.24
Calm,Closing,Green,Ox,47,23.4,21.3,23.7,22.7,-0.3,-1.4,1.05,-0.29
Calm,Closing,Green,Pig,50,18.0,22.0,23.7,22.7,-5.7,-0.7,0.78,0.13
Calm,Closing,Green,Rabbit,59,32.2,25.4,23.7,22.7,8.5,2.7,1.21,-0.16
Calm,Closing,Green,Rat,54,16.7,24.1,23.7,22.7,-7.0,1.4,0.66,0.31
Calm,Closing,Green,Rooster,65,26.2,21.5,23.7,22.7,2.5,-1.2,1.16,-0.02
Calm,Closing,Green,Snake,55,25.5,18.2,23.7,22.7,1.8,-4.5,1.34,-0.19
Calm,Closing,Green,Tiger,35,20.0,17.1,23.7,22.7,-3.7,-5.5,1.12,-0.63
Calm,Closing,Orange,Dog,60,25.0,11.7,23.7,22.7,1.3,-11.0,2.05,-0.28
Calm,Closing,Orange,Dragon,64,14.1,20.3,23.7,22.7,-9.6,-2.4,0.66,0.57
Calm,Closing,Orange,Goat,90,22.2,26.7,23.7,22.7,-1.4,4.0,0.8,-0.02
Calm,Closing,Orange,Horse,97,23.7,17.5,23.7,22.7,0.0,-5.2,1.3,-0.24
Calm,Closing,Orange,Monkey,71,28.2,26.8,23.7,22.7,4.5,4.1,1.01,-0.1
Calm,Closing,Orange,Ox,38,10.5,31.6,23.7,22.7,-13.1,8.9,0.32,0.97
Calm,Closing,Orange,Pig,102,25.5,24.5,23.7,22.7,1.8,1.8,1.0,0.02
Calm,Closing,Orange,Rabbit,55,18.2,29.1,23.7,22.7,-5.5,6.4,0.6,0.24
Calm,Closing,Orange,Rat,90,32.2,23.3,23.7,22.7,8.6,0.6,1.32,-0.27
Calm,Closing,Orange,Rooster,65,26.2,24.6,23.7,22.7,2.5,1.9,1.02,-0.31
Calm,Closing,Orange,Snake,54,31.5,22.2,23.7,22.7,7.8,-0.5,1.36,-0.14
Calm,Closing,Orange,Tiger,49,28.6,20.4,23.7,22.7,4.9,-2.3,1.34,-0.58
Calm,Closing,Purple,Dog,40,22.5,35.0,23.7,22.7,-1.2,12.3,0.62,0.51
Calm,Closing,Purple,Dragon,60,15.0,25.0,23.7,22.7,-8.7,2.3,0.58,0.29
