color,condition,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,-40,121,21.5,24.8,26.5,23.3,-5.0,1.5,0.76,0.28
Blue,Calm,-30,331,23.9,23.6,26.5,23.3,-2.7,0.2,0.89,0.07
Blue,Calm,-20,494,29.4,23.3,26.5,23.3,2.8,-0.1,1.11,-0.03
Blue,Calm,-10,680,23.4,25.0,26.5,23.3,-3.1,1.7,0.82,0.21
Blue,Calm,0,836,26.8,20.7,26.5,23.3,0.3,-2.6,1.14,-0.21
Blue,Calm,10,156,22.4,28.2,26.5,23.3,-4.1,4.9,0.7,0.2
Blue,Moderate,-40,59,18.6,23.7,26.4,21.8,-7.8,2.0,0.65,-0.0
Blue,Moderate,-30,156,20.5,31.4,26.4,21.8,-5.9,9.6,0.54,0.44
Blue,Moderate,-20,264,27.3,21.2,26.4,21.8,0.8,-0.5,1.06,-0.25
Blue,Moderate,-10,257,30.4,19.8,26.4,21.8,3.9,-1.9,1.26,-0.26
Blue,Moderate,0,500,27.8,21.8,26.4,21.8,1.4,0.0,1.05,-0.09
Blue,Moderate,10,48,16.7,41.7,26.4,21.8,-9.8,19.9,0.33,0.91
Blue,Tough,0,37,8.1,37.8,17.7,24.4,-9.6,13.4,0.3,1.0
Green,Calm,-40,52,21.2,15.4,26.5,23.3,-5.4,-8.0,1.21,-0.3
Green,Calm,-30,139,30.2,25.2,26.5,23.3,3.7,1.8,1.06,0.01
Green,Calm,-20,239,27.2,21.8,26.5,23.3,0.7,-1.6,1.1,-0.05
Green,Calm,-10,420,26.4,22.6,26.5,23.3,-0.1,-0.7,1.03,-0.02
Green,Calm,0,865,26.7,23.0,26.5,23.3,0.2,-0.3,1.02,-0.06
Green,Calm,10,115,22.6,27.0,26.5,23.3,-3.9,3.6,0.74,0.5
Green,Moderate,-40,31,29.0,16.1,26.4,21.8,2.6,-5.6,1.48,-0.37
Green,Moderate,-30,48,37.5,20.8,26.4,21.8,11.1,-0.9,1.48,-0.44
Green,Moderate,-20,147,25.9,23.8,26.4,21.8,-0.6,2.0,0.89,-0.03
Green,Moderate,-10,133,30.1,19.5,26.4,21.8,3.6,-2.2,1.27,-0.27
Green,Moderate,0,342,26.9,22.5,26.4,21.8,0.5,0.8,0.98,-0.16
Green,Moderate,10,44,18.2,22.7,26.4,21.8,-8.3,1.0,0.66,0.18
Green,Tough,-20,34,23.5,14.7,17.7,24.4,5.9,-9.7,2.21,-0.73
Green,Tough,0,49,12.2,24.5,17.7,24.4,-5.4,0.0,0.69,0.39
Orange,Calm,-50,41,36.6,19.5,26.5,23.3,10.1,-3.8,1.65,-0.17
Orange,Calm,-40,178,25.3,21.3,26.5,23.3,-1.2,-2.0,1.04,-0.12
Orange,Calm,-30,249,24.1,25.7,26.5,23.3,-2.4,2.4,0.82,-0.07
Orange,Calm,-20,321,27.7,23.7,26.5,23.3,1.2,0.3,1.03,-0.18
Orange,Calm,-10,324,28.1,19.8,26.5,23.3,1.6,-3.6,1.25,-0.32
Orange,Calm,0,265,23.4,25.7,26.5,23.3,-3.1,2.3,0.8,0.31
Orange,Calm,10,34,32.4,14.7,26.5,23.3,5.8,-8.6,1.94,-0.51
Orange,Moderate,-40,96,22.9,17.7,26.4,21.8,-3.5,-4.1,1.07,-0.12
Orange,Moderate,-30,142,24.6,19.0,26.4,21.8,-1.8,-2.7,1.07,-0.19
Orange,Moderate,-20,158,32.9,15.2,26.4,21.8,6.5,-6.6,1.78,-0.78
Orange,Moderate,-10,110,30.0,19.1,26.4,21.8,3.6,-2.7,1.29,-0.63
Orange,Moderate,0,167,31.7,16.8,26.4,21.8,5.3,-5.0,1.56,-0.55
Orange,Moderate,10,36,25.0,27.8,26.4,21.8,-1.4,6.0,0.74,0.48
Purple,Calm,-40,63,27.0,25.4,26.5,23.3,0.5,2.1,0.93,0.27
Purple,Calm,-30,174,37.9,17.2,26.5,23.3,11.4,-6.1,1.94,-0.73
Purple,Calm,-20,290,27.2,25.5,26.5,23.3,0.7,2.2,0.94,0.06
Purple,Calm,-10,447,30.0,21.0,26.5,23.3,3.4,-2.3,1.25,-0.16
Purple,Calm,0,965,25.5,24.1,26.5,23.3,-1.0,0.8,0.93,-0.02
Purple,Calm,10,139,23.7,24.5,26.5,23.3,-2.8,1.1,0.85,0.14
Purple,Moderate,-30,61,31.1,21.3,26.4,21.8,4.7,-0.5,1.2,-0.27
Purple,Moderate,-20,168,19.6,24.4,26.4,21.8,-6.8,2.6,0.66,0.21
Purple,Moderate,-10,195,34.9,18.5,26.4,21.8,8.4,-3.3,1.55,-0.48
Purple,Moderate,0,374,26.5,21.4,26.4,21.8,0.0,-0.4,1.02,-0.16
Purple,Moderate,10,47,19.1,29.8,26.4,21.8,-7.3,8.0,0.53,0.66
Purple,Tough,-10,33,21.2,27.3,17.7,24.4,3.5,2.8,1.08,-0.11
Purple,Tough,0,65,16.9,24.6,17.7,24.4,-0.7,0.2,0.95,0.02
Red,Calm,-30,52,26.9,28.8,26.5,23.3,0.4,5.5,0.82,0.29
Red,Calm,-20,74,32.4,21.6,26.5,23.3,5.9,-1.7,1.32,-0.36
Red,Calm,-10,32,31.3,15.6,26.5,23.3,4.7,-7.7,1.76,-0.62
Red,Calm,0,196,24.0,26.5,26.5,23.3,-2.5,3.2,0.8,0.33
Red,Moderate,-20,45,33.3,20.0,26.4,21.8,6.9,-1.8,1.37,-0.71
Red,Moderate,-10,37,40.5,21.6,26.4,21.8,14.1,-0.1,1.54,-0.46
Red,Moderate,0,89,28.1,25.8,26.4,21.8,1.7,4.1,0.89,-0.06
Yellow,Calm,-50,35,28.6,17.1,26.5,23.3,2.0,-6.2,1.47,-0.53
Yellow,Calm,-40,194,27.3,22.7,26.5,23.3,0.8,-0.7,1.06,-0.12
Yellow,Calm,-30,385,26.5,23.1,26.5,23.3,-0.0,-0.2,1.01,-0.07
Yellow,Calm,-20,905,26.2,25.5,26.5,23.3,-0.3,2.2,0.9,-0.02
Yellow,Calm,-10,1312,26.3,21.7,26.5,23.3,-0.2,-1.6,1.07,-0.07
Yellow,Calm,0,2021,26.9,24.7,26.5,23.3,0.3,1.4,0.96,-0.02
Yellow,Calm,10,242,24.8,18.6,26.5,23.3,-1.7,-4.7,1.17,-0.09
Yellow,Calm,20,71,22.5,16.9,26.5,23.3,-4.0,-6.4,1.17,-0.35
Yellow,Moderate,-40,79,20.3,11.4,26.4,21.8,-6.2,-10.4,1.46,-0.34
Yellow,Moderate,-30,187,25.7,20.3,26.4,21.8,-0.8,-1.4,1.04,-0.28
Yellow,Moderate,-20,425,27.1,23.5,26.4,21.8,0.6,1.8,0.95,-0.02
Yellow,Moderate,-10,539,25.2,21.3,26.4,21.8,-1.2,-0.4,0.97,-0.05
Yellow,Moderate,0,1061,24.6,22.6,26.4,21.8,-1.8,0.9,0.9,-0.02
Yellow,Moderate,10,96,13.5,28.1,26.4,21.8,-12.9,6.4,0.4,1.14
Yellow,Tough,-20,41,17.1,22.0,17.7,24.4,-0.6,-2.5,1.08,-0.29
Yellow,Tough,-10,92,20.7,14.1,17.7,24.4,3.0,-10.3,2.02,-0.43
Yellow,Tough,0,101,20.8,25.7,17.7,24.4,3.1,1.3,1.12,-0.05
