condition,round_type,exec_bucket,upside_bucket,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,25,3.0,31,35.5,12.9,23.6,22.7,11.9,-9.8,2.65,-0.88
Calm,Closing,25,25,8.0,31,12.9,22.6,23.6,22.7,-10.7,-0.2,0.55,0.33
Calm,Closing,25,25,9.0,30,20.0,23.3,23.6,22.7,-3.6,0.6,0.83,0.9
Calm,Closing,25,50,1.0,92,26.1,27.2,23.6,22.7,2.5,4.4,0.92,-0.02
Calm,Closing,25,50,2.0,117,12.8,18.8,23.6,22.7,-10.8,-3.9,0.66,0.15
Calm,Closing,25,50,3.0,125,26.4,25.6,23.6,22.7,2.8,2.9,0.99,-0.12
Calm,Closing,25,50,4.0,83,31.3,22.9,23.6,22.7,7.7,0.2,1.32,-0.4
Calm,Closing,25,50,5.0,77,19.5,28.6,23.6,22.7,-4.1,5.8,0.66,0.66
Calm,Closing,25,50,6.0,84,26.2,22.6,23.6,22.7,2.6,-0.1,1.12,-0.1
Calm,Closing,25,50,7.0,124,27.4,21.0,23.6,22.7,3.8,-1.8,1.26,-0.31
Calm,Closing,25,50,8.0,132,23.5,17.4,23.6,22.7,-0.1,-5.3,1.3,-0.25
Calm,Closing,25,50,9.0,108,25.0,17.6,23.6,22.7,1.4,-5.1,1.37,-0.21
Calm,Closing,25,75,1.0,44,34.1,15.9,23.6,22.7,10.5,-6.8,2.06,-0.56
Calm,Closing,25,75,2.0,49,26.5,20.4,23.6,22.7,2.9,-2.3,1.25,-0.36
Calm,Closing,25,75,3.0,55,27.3,20.0,23.6,22.7,3.7,-2.7,1.31,-0.07
Calm,Closing,25,75,4.0,33,36.4,24.2,23.6,22.7,12.8,1.5,1.45,-0.2
Calm,Closing,25,75,5.0,37,18.9,21.6,23.6,22.7,-4.7,-1.1,0.84,0.02
Calm,Closing,25,75,6.0,40,10.0,27.5,23.6,22.7,-13.6,4.8,0.35,0.58
Calm,Closing,25,75,7.0,42,26.2,28.6,23.6,22.7,2.6,5.8,0.88,-0.25
Calm,Closing,25,75,8.0,53,20.8,24.5,23.6,22.7,-2.8,1.8,0.82,0.2
Calm,Closing,25,75,9.0,54,11.1,33.3,23.6,22.7,-12.5,10.6,0.32,0.85
Calm,Closing,50,50,1.0,162,27.8,22.2,23.6,22.7,4.2,-0.5,1.2,-0.31
Calm,Closing,50,50,2.0,229,22.7,23.6,23.6,22.7,-0.9,0.8,0.93,0.23
Calm,Closing,50,50,3.0,209,24.4,22.0,23.6,22.7,0.8,-0.7,1.07,-0.11
Calm,Closing,50,50,4.0,147,30.6,21.1,23.6,22.7,7.0,-1.7,1.4,-0.33
Calm,Closing,50,50,5.0,121,28.1,23.1,23.6,22.7,4.5,0.4,1.17,0.03
Calm,Closing,50,50,6.0,132,27.3,21.2,23.6,22.7,3.7,-1.5,1.24,-0.2
Calm,Closing,50,50,7.0,186,22.6,20.4,23.6,22.7,-1.0,-2.3,1.06,-0.17
Calm,Closing,50,50,8.0,173,15.0,27.7,23.6,22.7,-8.6,5.0,0.52,0.65
Calm,Closing,50,50,9.0,194,23.7,21.1,23.6,22.7,0.1,-1.6,1.08,0.03
Calm,Closing,50,75,1.0,100,25.0,20.0,23.6,22.7,1.4,-2.7,1.2,-0.31
Calm,Closing,50,75,2.0,166,23.5,25.3,23.6,22.7,-0.1,2.6,0.89,-0.07
Calm,Closing,50,75,3.0,135,24.4,23.7,23.6,22.7,0.8,1.0,0.99,-0.1
Calm,Closing,50,75,4.0,94,21.3,21.3,23.6,22.7,-2.3,-1.5,0.96,0.18
Calm,Closing,50,75,5.0,81,21.0,25.9,23.6,22.7,-2.6,3.2,0.78,0.12
Calm,Closing,50,75,6.0,92,20.7,25.0,23.6,22.7,-2.9,2.3,0.8,0.24
Calm,Closing,50,75,7.0,106,19.8,18.9,23.6,22.7,-3.8,-3.9,1.01,-0.08
Calm,Closing,50,75,8.0,101,19.8,19.8,23.6,22.7,-3.8,-2.9,0.96,-0.22
Calm,Closing,50,75,9.0,110,21.8,25.5,23.6,22.7,-1.8,2.7,0.83,0.18
Calm,Closing,75,50,1.0,52,25.0,21.2,23.6,22.7,1.4,-1.6,1.14,-0.13
Calm,Closing,75,50,2.0,71,32.4,22.5,23.6,22.7,8.8,-0.2,1.38,-0.17
Calm,Closing,75,50,3.0,46,21.7,21.7,23.6,22.7,-1.9,-1.0,0.96,0.02
Calm,Closing,75,50,4.0,42,19.0,21.4,23.6,22.7,-4.6,-1.3,0.86,-0.2
Calm,Closing,75,50,5.0,47,23.4,34.0,23.6,22.7,-0.2,11.3,0.66,0.34
Calm,Closing,75,50,6.0,44,20.5,22.7,23.6,22.7,-3.1,-0.0,0.87,0.2
Calm,Closing,75,50,7.0,35,20.0,22.9,23.6,22.7,-3.6,0.1,0.84,0.46
Calm,Closing,75,50,8.0,53,30.2,24.5,23.6,22.7,6.6,1.8,1.19,-0.26
Calm,Closing,75,50,9.0,39,23.1,23.1,23.6,22.7,-0.5,0.3,0.96,0.11
Calm,Mixed,50,50,1.0,33,39.4,27.3,33.1,22.6,6.3,4.7,0.99,-0.31
Calm,Mixed,50,50,2.0,45,42.2,11.1,33.1,22.6,9.2,-11.5,2.6,-0.58
Calm,Mixed,50,50,3.0,50,26.0,26.0,33.1,22.6,-7.1,3.4,0.68,0.23
Calm,Mixed,50,50,5.0,34,32.4,32.4,33.1,22.6,-0.7,9.8,0.68,0.23
Calm,Mixed,50,50,6.0,35,34.3,25.7,33.1,22.6,1.2,3.1,0.91,0.35
Calm,Mixed,50,50,7.0,33,15.2,21.2,33.1,22.6,-17.9,-1.4,0.49,0.45
Calm,Mixed,50,50,8.0,34,23.5,29.4,33.1,22.6,-9.5,6.8,0.55,0.71
Calm,Mixed,50,50,9.0,37,29.7,29.7,33.1,22.6,-3.3,7.1,0.68,0.07
Calm,Mixed,50,75,2.0,30,23.3,26.7,33.1,22.6,-9.7,4.1,0.6,0.43
Calm,Mixed,50,75,6.0,30,23.3,23.3,33.1,22.6,-9.7,0.7,0.68,0.55
Calm,Mixed,50,75,9.0,33,30.3,15.2,33.1,22.6,-2.7,-7.4,1.37,-0.47
Calm,Open,0,0,2.0,39,17.9,33.3,28.3,20.9,-10.4,12.4,0.4,0.81
Calm,Open,25,25,2.0,36,30.6,22.2,28.3,20.9,2.2,1.3,1.02,-0.0
Calm,Open,25,25,7.0,35,31.4,17.1,28.3,20.9,3.1,-3.8,1.35,-0.43
Calm,Open,25,25,8.0,32,31.3,18.8,28.3,20.9,2.9,-2.2,1.23,-0.17
Calm,Open,25,50,1.0,186,25.8,19.4,28.3,20.9,-2.5,-1.6,0.98,-0.11
Calm,Open,25,50,2.0,215,27.4,19.5,28.3,20.9,-0.9,-1.4,1.04,-0.36
Calm,Open,25,50,3.0,213,29.6,20.2,28.3,20.9,1.2,-0.7,1.08,-0.24
Calm,Open,25,50,4.0,143,33.6,16.8,28.3,20.9,5.2,-4.2,1.48,-0.56
Calm,Open,25,50,5.0,142,28.2,18.3,28.3,20.9,-0.2,-2.6,1.14,-0.34
Calm,Open,25,50,6.0,166,26.5,20.5,28.3,20.9,-1.8,-0.5,0.96,-0.14
Calm,Open,25,50,7.0,184,31.5,17.9,28.3,20.9,3.2,-3.0,1.3,-0.37
Calm,Open,25,50,8.0,177,29.9,18.6,28.3,20.9,1.6,-2.3,1.19,-0.28
Calm,Open,25,50,9.0,178,27.5,20.2,28.3,20.9,-0.8,-0.7,1.01,-0.16
Calm,Open,25,75,1.0,122,29.5,18.0,28.3,20.9,1.2,-2.9,1.21,-0.14
