condition,round_type,exec_bucket,upside_bucket,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Positioning,25,75,3.0,33,15.2,30.3,23.1,22.9,-8.0,7.4,0.5,0.65
Calm,Positioning,25,75,5.0,32,18.8,18.8,23.1,22.9,-4.4,-4.2,0.99,0.02
Calm,Positioning,25,75,7.0,30,20.0,26.7,23.1,22.9,-3.1,3.7,0.74,0.78
Calm,Positioning,25,75,9.0,30,33.3,10.0,23.1,22.9,10.2,-12.9,3.31,-0.78
Calm,Positioning,50,50,1.0,94,35.1,23.4,23.1,22.9,12.0,0.5,1.49,-0.32
Calm,Positioning,50,50,2.0,81,27.2,25.9,23.1,22.9,4.0,3.0,1.04,0.16
Calm,Positioning,50,50,3.0,87,23.0,20.7,23.1,22.9,-0.1,-2.3,1.1,0.09
Calm,Positioning,50,50,4.0,75,25.3,28.0,23.1,22.9,2.2,5.1,0.9,0.06
Calm,Positioning,50,50,5.0,56,21.4,14.3,23.1,22.9,-1.7,-8.7,1.49,-0.31
Calm,Positioning,50,50,6.0,66,28.8,24.2,23.1,22.9,5.7,1.3,1.18,-0.29
Calm,Positioning,50,50,7.0,74,18.9,25.7,23.1,22.9,-4.2,2.7,0.73,-0.04
Calm,Positioning,50,50,8.0,50,24.0,22.0,23.1,22.9,0.9,-0.9,1.08,-0.08
Calm,Positioning,50,50,9.0,84,23.8,29.8,23.1,22.9,0.7,6.8,0.79,0.31
Calm,Positioning,50,75,1.0,67,23.9,17.9,23.1,22.9,0.8,-5.0,1.32,-0.03
Calm,Positioning,50,75,2.0,74,14.9,29.7,23.1,22.9,-8.3,6.8,0.5,0.78
Calm,Positioning,50,75,3.0,57,21.1,22.8,23.1,22.9,-2.1,-0.1,0.92,-0.02
Calm,Positioning,50,75,4.0,57,21.1,22.8,23.1,22.9,-2.1,-0.1,0.92,0.01
Calm,Positioning,50,75,5.0,58,17.2,24.1,23.1,22.9,-5.9,1.2,0.71,0.32
Calm,Positioning,50,75,6.0,43,14.0,41.9,23.1,22.9,-9.2,18.9,0.33,1.39
Calm,Positioning,50,75,7.0,54,33.3,20.4,23.1,22.9,10.2,-2.6,1.62,-0.35
Calm,Positioning,50,75,8.0,39,17.9,20.5,23.1,22.9,-5.2,-2.4,0.87,-0.32
Calm,Positioning,50,75,9.0,67,14.9,16.4,23.1,22.9,-8.2,-6.5,0.9,0.13
Calm,Positioning,75,50,1.0,42,38.1,7.1,23.1,22.9,15.0,-15.8,5.29,-1.36
Calm,Positioning,75,50,9.0,30,30.0,13.3,23.1,22.9,6.9,-9.6,2.23,-0.5
Calm,REMOVE,25,50,1.0,39,35.9,23.1,27.0,28.2,8.9,-5.1,1.63,-0.39
Calm,REMOVE,25,50,2.0,32,25.0,12.5,27.0,28.2,-2.0,-15.7,2.09,-1.07
Calm,REMOVE,25,50,3.0,31,25.8,32.3,27.0,28.2,-1.2,4.0,0.84,0.6
Calm,REMOVE,25,50,7.0,36,33.3,27.8,27.0,28.2,6.4,-0.4,1.26,-0.39
Calm,REMOVE,25,50,8.0,34,26.5,26.5,27.0,28.2,-0.5,-1.8,1.05,-0.28
Calm,REMOVE,25,50,9.0,39,20.5,28.2,27.0,28.2,-6.5,-0.0,0.76,0.66
Calm,REMOVE,50,50,1.0,65,29.2,23.1,27.0,28.2,2.3,-5.1,1.33,-0.47
Calm,REMOVE,50,50,2.0,66,18.2,37.9,27.0,28.2,-8.8,9.7,0.5,1.15
Calm,REMOVE,50,50,3.0,49,26.5,32.7,27.0,28.2,-0.4,4.4,0.85,0.26
Calm,REMOVE,50,50,4.0,45,31.1,37.8,27.0,28.2,4.1,9.6,0.86,0.03
Calm,REMOVE,50,50,6.0,42,31.0,31.0,27.0,28.2,4.0,2.7,1.05,0.2
Calm,REMOVE,50,50,7.0,32,31.3,31.3,27.0,28.2,4.3,3.0,1.05,0.33
Calm,REMOVE,50,50,9.0,53,22.6,32.1,27.0,28.2,-4.3,3.9,0.74,0.32
Calm,REMOVE,50,75,1.0,30,26.7,33.3,27.0,28.2,-0.3,5.1,0.84,-0.1
Calm,REMOVE,50,75,2.0,35,22.9,40.0,27.0,28.2,-4.1,11.8,0.6,0.38
Calm,REMOVE,50,75,3.0,36,33.3,16.7,27.0,28.2,6.4,-11.6,2.09,-1.77
Calm,Survival,25,50,1.0,76,30.3,17.1,25.8,22.2,4.5,-5.1,1.52,-0.1
Calm,Survival,25,50,2.0,93,34.4,17.2,25.8,22.2,8.6,-5.0,1.72,-0.54
Calm,Survival,25,50,3.0,73,20.5,23.3,25.8,22.2,-5.2,1.1,0.76,0.4
Calm,Survival,25,50,4.0,44,22.7,34.1,25.8,22.2,-3.1,11.9,0.57,0.63
Calm,Survival,25,50,5.0,62,32.3,14.5,25.8,22.2,6.5,-7.7,1.91,-0.47
Calm,Survival,25,50,6.0,60,25.0,23.3,25.8,22.2,-0.8,1.1,0.92,0.32
Calm,Survival,25,50,7.0,69,21.7,27.5,25.8,22.2,-4.1,5.3,0.68,-0.02
Calm,Survival,25,50,8.0,66,30.3,25.8,25.8,22.2,4.5,3.6,1.01,-0.19
Calm,Survival,25,50,9.0,77,24.7,13.0,25.8,22.2,-1.1,-9.2,1.64,-0.51
Calm,Survival,25,75,1.0,57,35.1,14.0,25.8,22.2,9.3,-8.2,2.15,-0.59
Calm,Survival,25,75,2.0,66,24.2,19.7,25.8,22.2,-1.6,-2.5,1.06,0.14
Calm,Survival,25,75,3.0,52,21.2,30.8,25.8,22.2,-4.6,8.6,0.59,0.39
Calm,Survival,25,75,4.0,31,45.2,29.0,25.8,22.2,19.4,6.8,1.34,-0.26
Calm,Survival,25,75,5.0,52,23.1,15.4,25.8,22.2,-2.7,-6.8,1.29,-0.34
Calm,Survival,25,75,6.0,50,20.0,14.0,25.8,22.2,-5.8,-8.2,1.23,0.17
Calm,Survival,25,75,7.0,54,25.9,27.8,25.8,22.2,0.1,5.6,0.8,0.1
Calm,Survival,25,75,8.0,34,35.3,20.6,25.8,22.2,9.5,-1.6,1.48,-0.58
Calm,Survival,25,75,9.0,56,26.8,25.0,25.8,22.2,1.0,2.8,0.92,-0.2
Calm,Survival,50,50,1.0,127,29.1,18.9,25.8,22.2,3.3,-3.3,1.33,-0.36
Calm,Survival,50,50,2.0,130,25.4,24.6,25.8,22.2,-0.4,2.4,0.89,0.18
Calm,Survival,50,50,3.0,130,30.8,17.7,25.8,22.2,5.0,-4.5,1.5,-0.3
Calm,Survival,50,50,4.0,107,32.7,14.0,25.8,22.2,6.9,-8.2,2.01,-0.92
Calm,Survival,50,50,5.0,93,23.7,23.7,25.8,22.2,-2.1,1.5,0.86,0.39
Calm,Survival,50,50,6.0,103,23.3,26.2,25.8,22.2,-2.5,4.0,0.77,0.24
