color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,25,25,249,24.1,22.5,26.5,22.5,-2.4,-0.0,0.91,0.06
Blue,Calm,25,50,970,25.7,22.4,26.5,22.5,-0.8,-0.1,0.98,-0.12
Blue,Calm,25,75,645,22.3,24.2,26.5,22.5,-4.2,1.7,0.78,0.18
Blue,Calm,50,25,58,27.6,24.1,26.5,22.5,1.1,1.6,0.97,-0.49
Blue,Calm,50,50,1561,27.3,22.2,26.5,22.5,0.8,-0.3,1.05,-0.1
Blue,Calm,50,75,1272,24.6,25.6,26.5,22.5,-1.9,3.0,0.82,0.11
Blue,Calm,75,50,508,24.6,23.8,26.5,22.5,-1.9,1.3,0.88,0.03
Blue,Calm,75,75,48,37.5,18.8,26.5,22.5,11.0,-3.8,1.7,-1.03
Blue,Moderate,25,25,162,31.5,23.5,26.1,22.6,5.4,0.8,1.17,-0.25
Blue,Moderate,25,50,587,26.1,22.7,26.1,22.6,0.0,0.0,1.0,-0.11
Blue,Moderate,25,75,362,22.7,21.8,26.1,22.6,-3.4,-0.8,0.9,-0.01
Blue,Moderate,50,25,62,25.8,22.6,26.1,22.6,-0.3,-0.0,0.99,-0.04
Blue,Moderate,50,50,964,27.0,22.7,26.1,22.6,0.9,0.1,1.03,-0.13
Blue,Moderate,50,75,860,25.7,23.4,26.1,22.6,-0.4,0.7,0.95,-0.0
Blue,Moderate,75,50,348,24.4,23.9,26.1,22.6,-1.6,1.2,0.89,0.07
Blue,Tough,25,50,67,31.3,28.4,24.0,23.9,7.3,4.5,1.1,-0.41
Blue,Tough,25,75,32,15.6,31.3,24.0,23.9,-8.4,7.4,0.5,0.83
Blue,Tough,50,50,88,25.0,26.1,24.0,23.9,1.0,2.2,0.95,-0.04
Blue,Tough,50,75,89,25.8,22.5,24.0,23.9,1.8,-1.4,1.14,-0.52
Green,Calm,25,25,113,25.7,22.1,26.5,22.5,-0.8,-0.4,0.99,0.2
Green,Calm,25,50,512,26.6,19.5,26.5,22.5,0.1,-3.0,1.16,-0.23
Green,Calm,25,75,288,23.6,24.0,26.5,22.5,-2.9,1.4,0.84,0.07
Green,Calm,50,25,62,25.8,25.8,26.5,22.5,-0.7,3.3,0.85,0.32
Green,Calm,50,50,1388,26.4,22.0,26.5,22.5,-0.1,-0.5,1.02,-0.15
Green,Calm,50,75,557,25.9,21.2,26.5,22.5,-0.6,-1.3,1.04,-0.13
Green,Calm,75,50,225,25.8,20.0,26.5,22.5,-0.7,-2.5,1.1,-0.01
Green,Moderate,25,25,78,23.1,30.8,26.1,22.6,-3.0,8.1,0.65,0.38
Green,Moderate,25,50,278,23.4,28.4,26.1,22.6,-2.7,5.8,0.71,0.23
Green,Moderate,25,75,185,26.5,22.7,26.1,22.6,0.4,0.1,1.01,-0.05
Green,Moderate,50,25,62,22.6,19.4,26.1,22.6,-3.5,-3.3,1.01,0.04
Green,Moderate,50,50,851,29.4,23.0,26.1,22.6,3.3,0.4,1.11,-0.22
Green,Moderate,50,75,305,27.2,20.3,26.1,22.6,1.2,-2.3,1.16,-0.2
Green,Moderate,75,50,210,24.8,24.8,26.1,22.6,-1.3,2.1,0.87,-0.07
Green,Tough,50,50,98,22.4,27.6,24.0,23.9,-1.6,3.7,0.81,0.15
Green,Tough,50,75,46,43.5,19.6,24.0,23.9,19.5,-4.3,2.21,-1.03
Orange,Calm,25,25,213,28.6,20.7,26.5,22.5,2.2,-1.9,1.18,-0.17
Orange,Calm,25,50,1389,26.1,21.5,26.5,22.5,-0.4,-1.0,1.03,-0.12
Orange,Calm,25,75,746,28.4,21.2,26.5,22.5,1.9,-1.3,1.14,-0.22
Orange,Calm,50,25,47,25.5,27.7,26.5,22.5,-1.0,5.1,0.78,0.18
Orange,Calm,50,50,1097,27.7,24.2,26.5,22.5,1.2,1.6,0.97,-0.07
Orange,Calm,50,75,908,25.4,22.8,26.5,22.5,-1.0,0.3,0.95,-0.1
Orange,Calm,75,50,436,25.7,27.3,26.5,22.5,-0.8,4.8,0.8,0.17
Orange,Moderate,25,25,212,28.3,19.8,26.1,22.6,2.2,-2.8,1.24,-0.12
Orange,Moderate,25,50,755,27.3,22.1,26.1,22.6,1.2,-0.5,1.07,-0.14
Orange,Moderate,25,75,394,28.9,19.8,26.1,22.6,2.9,-2.8,1.27,-0.31
Orange,Moderate,50,25,65,24.6,24.6,26.1,22.6,-1.4,2.0,0.87,-0.2
Orange,Moderate,50,50,715,24.6,21.5,26.1,22.6,-1.4,-1.1,0.99,-0.01
Orange,Moderate,50,75,687,26.2,22.9,26.1,22.6,0.1,0.2,1.0,-0.07
Orange,Moderate,75,50,237,24.5,27.4,26.1,22.6,-1.6,4.8,0.77,0.29
Orange,Tough,25,50,67,22.4,23.9,24.0,23.9,-1.6,-0.0,0.93,0.16
Orange,Tough,25,75,59,22.0,22.0,24.0,23.9,-2.0,-1.9,0.99,0.17
Orange,Tough,50,75,41,34.1,12.2,24.0,23.9,10.1,-11.7,2.79,-0.82
Pink,Calm,25,50,106,24.5,20.8,26.5,22.5,-2.0,-1.8,1.0,-0.14
Pink,Calm,25,75,53,39.6,22.6,26.5,22.5,13.1,0.1,1.49,-0.32
Pink,Calm,50,50,56,35.7,23.2,26.5,22.5,9.2,0.7,1.31,-0.36
Pink,Moderate,25,50,55,36.4,18.2,26.1,22.6,10.3,-4.4,1.74,-0.69
Pink,Moderate,25,75,36,30.6,16.7,26.1,22.6,4.5,-6.0,1.59,-0.59
Pink,Moderate,50,50,35,25.7,14.3,26.1,22.6,-0.3,-8.3,1.56,-0.29
Purple,Calm,25,25,115,28.7,20.9,26.5,22.5,2.2,-1.6,1.17,-0.24
Purple,Calm,25,50,629,27.3,21.6,26.5,22.5,0.9,-0.9,1.07,-0.14
Purple,Calm,25,75,343,26.8,22.4,26.5,22.5,0.3,-0.1,1.02,-0.11
Purple,Calm,50,25,36,38.9,11.1,26.5,22.5,12.4,-11.4,2.97,-0.97
Purple,Calm,50,50,1499,27.0,22.7,26.5,22.5,0.5,0.2,1.01,-0.08
Purple,Calm,50,75,612,23.7,21.2,26.5,22.5,-2.8,-1.3,0.95,-0.07
Purple,Calm,75,50,312,29.2,21.5,26.5,22.5,2.7,-1.0,1.15,-0.16
Purple,Calm,75,75,41,34.1,14.6,26.5,22.5,7.7,-7.9,1.98,-0.61
Purple,Moderate,25,25,70,25.7,20.0,26.1,22.6,-0.3,-2.6,1.12,0.04
Purple,Moderate,25,50,341,28.7,22.0,26.1,22.6,2.7,-0.6,1.13,-0.23
Purple,Moderate,25,75,198,32.3,20.7,26.1,22.6,6.3,-1.9,1.36,-0.35
Purple,Moderate,50,25,47,29.8,12.8,26.1,22.6,3.7,-9.9,2.03,-0.8
Purple,Moderate,50,50,960,26.6,21.6,26.1,22.6,0.5,-1.1,1.07,-0.22
Purple,Moderate,50,75,328,21.3,27.1,26.1,22.6,-4.7,4.5,0.68,0.45
Purple,Moderate,75,50,305,27.5,24.3,26.1,22.6,1.5,1.6,0.99,-0.18
Purple,Tough,25,75,32,15.6,15.6,24.0,23.9,-8.4,-8.3,0.99,0.08
Purple,Tough,50,50,103,25.2,28.2,24.0,23.9,1.2,4.3,0.89,0.26
Purple,Tough,50,75,55,30.9,27.3,24.0,23.9,6.9,3.4,1.13,-0.23
Red,Calm,25,50,98,26.5,17.3,26.5,22.5,0.0,-5.2,1.3,-0.39
Red,Calm,25,75,107,27.1,24.3,26.5,22.5,0.6,1.8,0.95,-0.02
Red,Calm,50,50,428,20.3,26.6,26.5,22.5,-6.2,4.1,0.65,0.38
Red,Calm,50,75,117,28.2,16.2,26.5,22.5,1.7,-6.3,1.48,-0.52
Red,Calm,75,50,54,25.9,22.2,26.5,22.5,-0.6,-0.3,0.99,0.01
Red,Moderate,25,50,86,23.3,29.1,26.1,22.6,-2.8,6.4,0.69,0.45
Red,Moderate,25,75,46,30.4,37.0,26.1,22.6,4.4,14.3,0.72,0.48
Red,Moderate,50,50,205,26.3,25.4,26.1,22.6,0.3,2.7,0.9,-0.02
Red,Moderate,50,75,54,25.9,27.8,26.1,22.6,-0.1,5.1,0.81,0.12
Yellow,Calm,25,25,404,29.2,20.8,26.5,22.5,2.7,-1.7,1.19,-0.23
Yellow,Calm,25,50,1405,27.9,21.2,26.5,22.5,1.4,-1.3,1.12,-0.17
Yellow,Calm,25,75,780,26.8,22.9,26.5,22.5,0.3,0.4,0.99,-0.03
