condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Survival,Orange,Earth,48,31.3,18.8,26.3,21.7,5.0,-3.0,1.38,-0.52
Calm,Survival,Orange,Fire,79,30.4,19.0,26.3,21.7,4.1,-2.7,1.32,-0.29
Calm,Survival,Orange,Metal,48,31.3,22.9,26.3,21.7,5.0,1.2,1.13,-0.31
Calm,Survival,Orange,Water,50,30.0,10.0,26.3,21.7,3.7,-11.7,2.48,-0.6
Calm,Survival,Orange,Wood,69,24.6,18.8,26.3,21.7,-1.6,-2.9,1.08,-0.34
Calm,Survival,Purple,Earth,91,20.9,27.5,26.3,21.7,-5.4,5.8,0.63,0.25
Calm,Survival,Purple,Fire,132,32.6,20.5,26.3,21.7,6.3,-1.3,1.32,-0.21
Calm,Survival,Purple,Metal,101,23.8,24.8,26.3,21.7,-2.5,3.0,0.79,0.13
Calm,Survival,Purple,Water,106,37.7,18.9,26.3,21.7,11.5,-2.8,1.65,-0.43
Calm,Survival,Purple,Wood,97,26.8,28.9,26.3,21.7,0.5,7.2,0.77,0.19
Calm,Survival,Yellow,Earth,288,24.0,21.9,26.3,21.7,-2.3,0.2,0.91,0.01
Calm,Survival,Yellow,Fire,294,28.6,20.4,26.3,21.7,2.3,-1.3,1.16,-0.21
Calm,Survival,Yellow,Metal,239,24.3,24.7,26.3,21.7,-2.0,3.0,0.81,0.13
Calm,Survival,Yellow,Water,253,26.5,20.6,26.3,21.7,0.2,-1.2,1.07,-0.16
Calm,Survival,Yellow,Wood,170,27.1,24.1,26.3,21.7,0.8,2.4,0.93,0.3
