condition,round_type,exec_bucket,upside_bucket,moon,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,25,Krishna Jaya,35,31.4,28.6,25.1,23.0,6.4,5.5,1.01,0.63
Calm,Closing,25,50,Krishna Bhadra,31,25.8,25.8,25.1,23.0,0.8,2.8,0.92,0.07
Calm,Closing,25,50,Krishna Purna,55,21.8,25.5,25.1,23.0,-3.2,2.4,0.79,0.25
Calm,Closing,25,50,Shukla Bhadra,50,18.0,30.0,25.1,23.0,-7.1,7.0,0.55,0.42
Calm,Closing,25,50,Shukla Jaya,61,32.8,21.3,25.1,23.0,7.7,-1.7,1.41,-0.35
Calm,Closing,25,50,Shukla Nanda,82,28.0,26.8,25.1,23.0,3.0,3.8,0.96,-0.14
Calm,Closing,25,50,Shukla Purna,50,42.0,14.0,25.1,23.0,16.9,-9.0,2.76,-1.22
Calm,Closing,25,50,Shukla Rikta,40,25.0,37.5,25.1,23.0,-0.1,14.5,0.61,0.41
Calm,Closing,25,75,Krishna Nanda,33,21.2,18.2,25.1,23.0,-3.8,-4.8,1.07,0.32
Calm,Closing,25,75,Krishna Purna,45,26.7,37.8,25.1,23.0,1.6,14.8,0.65,0.84
Calm,Closing,25,75,Krishna Rikta,35,22.9,22.9,25.1,23.0,-2.2,-0.2,0.92,-0.59
Calm,Closing,50,50,Krishna Bhadra,33,39.4,15.2,25.1,23.0,14.3,-7.9,2.39,-0.8
Calm,Closing,50,50,Krishna Jaya,107,22.4,24.3,25.1,23.0,-2.6,1.3,0.85,-0.09
Calm,Closing,50,50,Krishna Nanda,76,18.4,27.6,25.1,23.0,-6.6,4.6,0.61,0.51
Calm,Closing,50,50,Krishna Purna,96,13.5,21.9,25.1,23.0,-11.5,-1.1,0.57,0.15
Calm,Closing,50,50,Shukla Bhadra,40,22.5,15.0,25.1,23.0,-2.6,-8.0,1.38,-0.05
Calm,Closing,50,50,Shukla Jaya,134,22.4,18.7,25.1,23.0,-2.7,-4.4,1.1,-0.02
Calm,Closing,50,50,Shukla Nanda,43,41.9,11.6,25.1,23.0,16.8,-11.4,3.31,-1.17
Calm,Closing,50,50,Shukla Purna,82,32.9,17.1,25.1,23.0,7.9,-5.9,1.77,-0.64
Calm,Closing,50,50,Shukla Rikta,63,20.6,19.0,25.1,23.0,-4.4,-4.0,1.0,-0.3
Calm,Closing,50,75,Krishna Bhadra,49,18.4,28.6,25.1,23.0,-6.7,5.5,0.59,0.7
Calm,Closing,50,75,Krishna Jaya,40,27.5,25.0,25.1,23.0,2.4,2.0,1.01,-0.19
Calm,Closing,50,75,Krishna Nanda,38,21.1,15.8,25.1,23.0,-4.0,-7.2,1.23,-0.7
Calm,Closing,50,75,Shukla Bhadra,34,26.5,17.6,25.1,23.0,1.4,-5.4,1.38,-0.48
Calm,Closing,50,75,Shukla Jaya,49,18.4,30.6,25.1,23.0,-6.7,7.6,0.55,0.65
Calm,Closing,50,75,Shukla Nanda,84,23.8,22.6,25.1,23.0,-1.2,-0.4,0.97,-0.16
Calm,Closing,50,75,Shukla Purna,96,32.3,16.7,25.1,23.0,7.2,-6.4,1.78,-0.44
Calm,Closing,50,75,Shukla Rikta,40,7.5,35.0,25.1,23.0,-17.6,12.0,0.2,1.23
Calm,Closing,75,50,Krishna Purna,38,10.5,15.8,25.1,23.0,-14.5,-7.2,0.61,0.21
Calm,Closing,75,50,Shukla Bhadra,66,33.3,15.2,25.1,23.0,8.3,-7.9,2.02,-0.42
Calm,Elimination,50,50,Krishna Rikta,56,32.1,25.0,28.2,24.8,3.9,0.2,1.13,0.39
Calm,Mixed,25,50,Krishna Nanda,55,1.8,63.6,29.5,30.7,-27.7,33.0,0.03,3.29
Calm,Mixed,25,50,Shukla Jaya,39,41.0,20.5,29.5,30.7,11.5,-10.1,2.08,-1.13
Calm,Mixed,25,50,Shukla Nanda,65,36.9,12.3,29.5,30.7,7.4,-18.3,3.12,-0.46
Calm,Mixed,50,50,Krishna Bhadra,58,32.8,20.7,29.5,30.7,3.3,-10.0,1.64,0.03
Calm,Mixed,50,50,Shukla Nanda,56,37.5,17.9,29.5,30.7,8.0,-12.8,2.18,-0.24
Calm,Mixed,50,75,Krishna Bhadra,37,27.0,32.4,29.5,30.7,-2.5,1.8,0.87,1.02
Calm,Mixed,50,75,Krishna Nanda,58,1.7,65.5,29.5,30.7,-27.8,34.9,0.03,2.72
Calm,Mixed,75,75,Krishna Nanda,30,0.0,70.0,29.5,30.7,-29.5,39.3,0.0,4.09
Calm,Open,0,0,Krishna Jaya,37,5.4,56.8,27.6,23.8,-22.2,32.9,0.08,3.32
Calm,Open,0,0,Krishna Nanda,46,23.9,21.7,27.6,23.8,-3.6,-2.1,0.95,0.29
Calm,Open,0,0,Krishna Rikta,50,8.0,48.0,27.6,23.8,-19.6,24.2,0.14,2.88
Calm,Open,0,0,Shukla Nanda,63,7.9,47.6,27.6,23.8,-19.6,23.8,0.14,2.23
Calm,Open,0,0,Shukla Purna,33,12.1,51.5,27.6,23.8,-15.4,27.7,0.2,1.82
Calm,Open,0,0,Shukla Rikta,55,20.0,30.9,27.6,23.8,-7.6,7.1,0.56,0.93
Calm,Open,25,25,Krishna Jaya,37,37.8,18.9,27.6,23.8,10.3,-4.9,1.73,-0.12
