condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Open,50,50,CANCER,146,30.1,19.9,28.3,23.0,1.8,-3.1,1.23,-0.33
Calm,Open,50,50,CAPRICORN,121,26.4,21.5,28.3,23.0,-1.9,-1.5,1.0,-0.1
Calm,Open,50,50,GEMINI,167,20.4,19.8,28.3,23.0,-8.0,-3.2,0.84,0.15
Calm,Open,50,50,LEO,145,30.3,21.4,28.3,23.0,2.0,-1.6,1.15,-0.42
Calm,Open,50,50,LIBRA,55,14.5,41.8,28.3,23.0,-13.8,18.9,0.28,0.95
Calm,Open,50,50,PISCES,178,27.0,24.2,28.3,23.0,-1.4,1.2,0.91,-0.07
Calm,Open,50,50,SAGITTARIUS,127,29.1,26.8,28.3,23.0,0.8,3.8,0.88,-0.14
Calm,Open,50,50,SCORPIO,136,25.7,33.1,28.3,23.0,-2.6,10.1,0.63,0.47
Calm,Open,50,50,TAURUS,97,28.9,17.5,28.3,23.0,0.5,-5.4,1.34,-0.47
Calm,Open,50,50,VIRGO,128,28.9,22.7,28.3,23.0,0.6,-0.3,1.03,-0.1
Calm,Open,50,75,AQUARIUS,57,29.8,21.1,28.3,23.0,1.5,-1.9,1.15,-0.17
Calm,Open,50,75,ARIES,69,23.2,23.2,28.3,23.0,-5.1,0.2,0.81,0.15
Calm,Open,50,75,CANCER,87,28.7,25.3,28.3,23.0,0.4,2.3,0.92,0.13
Calm,Open,50,75,CAPRICORN,57,22.8,22.8,28.3,23.0,-5.5,-0.2,0.81,0.18
Calm,Open,50,75,GEMINI,94,36.2,20.2,28.3,23.0,7.8,-2.8,1.45,-0.56
Calm,Open,50,75,LEO,83,31.3,20.5,28.3,23.0,3.0,-2.5,1.24,-0.18
Calm,Open,50,75,LIBRA,38,39.5,26.3,28.3,23.0,11.1,3.3,1.22,-0.44
Calm,Open,50,75,PISCES,92,34.8,15.2,28.3,23.0,6.5,-7.7,1.85,-0.64
