condition,round_type,color,element,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,-20,39,28.2,17.9,23.7,22.7,4.5,-4.7,1.51,-0.23
Calm,Closing,Blue,Earth,-10,35,17.1,28.6,23.7,22.7,-6.5,5.9,0.58,0.23
Calm,Closing,Blue,Earth,0,53,17.0,26.4,23.7,22.7,-6.7,3.7,0.62,0.06
Calm,Closing,Blue,Fire,-30,36,22.2,27.8,23.7,22.7,-1.4,5.1,0.77,0.18
Calm,Closing,Blue,Fire,-20,52,17.3,19.2,23.7,22.7,-6.4,-3.5,0.86,0.0
Calm,Closing,Blue,Fire,-10,49,32.7,16.3,23.7,22.7,9.0,-6.4,1.92,-0.37
Calm,Closing,Blue,Fire,0,63,23.8,17.5,23.7,22.7,0.1,-5.2,1.31,-0.19
Calm,Closing,Blue,Metal,-20,30,10.0,20.0,23.7,22.7,-13.7,-2.7,0.48,0.21
Calm,Closing,Blue,Metal,-10,45,26.7,22.2,23.7,22.7,3.0,-0.5,1.15,0.01
Calm,Closing,Blue,Metal,0,49,36.7,32.7,23.7,22.7,13.1,10.0,1.08,-0.03
Calm,Closing,Blue,Water,-10,40,32.5,25.0,23.7,22.7,8.8,2.3,1.25,-0.23
Calm,Closing,Blue,Water,0,54,16.7,22.2,23.7,22.7,-7.0,-0.5,0.72,0.31
Calm,Closing,Blue,Wood,-20,31,22.6,16.1,23.7,22.7,-1.1,-6.6,1.34,-0.55
Calm,Closing,Blue,Wood,0,45,26.7,28.9,23.7,22.7,3.0,6.2,0.88,0.39
Calm,Closing,Green,Earth,0,46,32.6,19.6,23.7,22.7,8.9,-3.1,1.6,-0.54
Calm,Closing,Green,Fire,-10,40,10.0,25.0,23.7,22.7,-13.7,2.3,0.38,0.38
Calm,Closing,Green,Fire,0,71,18.3,23.9,23.7,22.7,-5.4,1.3,0.73,0.28
Calm,Closing,Green,Metal,0,45,31.1,22.2,23.7,22.7,7.4,-0.5,1.34,-0.3
Calm,Closing,Green,Water,0,48,16.7,22.9,23.7,22.7,-7.0,0.2,0.7,0.46
Calm,Closing,Green,Wood,0,45,20.0,26.7,23.7,22.7,-3.7,4.0,0.72,0.19
Calm,Closing,Orange,Earth,-30,39,25.6,28.2,23.7,22.7,2.0,5.5,0.87,0.11
Calm,Closing,Orange,Earth,-20,44,22.7,25.0,23.7,22.7,-0.9,2.3,0.87,0.13
Calm,Closing,Orange,Earth,-10,35,14.3,20.0,23.7,22.7,-9.4,-2.7,0.68,0.33
Calm,Closing,Orange,Earth,0,35,14.3,14.3,23.7,22.7,-9.4,-8.4,0.96,0.09
Calm,Closing,Orange,Fire,-30,30,16.7,23.3,23.7,22.7,-7.0,0.6,0.68,0.48
Calm,Closing,Orange,Fire,-20,32,25.0,37.5,23.7,22.7,1.3,14.8,0.64,0.28
Calm,Closing,Orange,Fire,-10,58,24.1,19.0,23.7,22.7,0.5,-3.7,1.22,-0.13
Calm,Closing,Orange,Fire,0,32,28.1,25.0,23.7,22.7,4.5,2.3,1.08,0.12
Calm,Closing,Orange,Metal,-30,34,29.4,26.5,23.7,22.7,5.7,3.8,1.07,0.24
Calm,Closing,Orange,Metal,-20,36,19.4,30.6,23.7,22.7,-4.2,7.9,0.61,0.2
Calm,Closing,Orange,Metal,-10,37,21.6,24.3,23.7,22.7,-2.0,1.6,0.85,-0.1
Calm,Closing,Orange,Metal,0,38,21.1,23.7,23.7,22.7,-2.6,1.0,0.85,0.02
Calm,Closing,Orange,Water,-30,46,43.5,17.4,23.7,22.7,19.8,-5.3,2.4,-1.1
Calm,Closing,Orange,Water,-20,35,11.4,14.3,23.7,22.7,-12.2,-8.4,0.77,0.31
Calm,Closing,Orange,Water,-10,37,27.0,29.7,23.7,22.7,3.4,7.0,0.87,0.03
Calm,Closing,Orange,Water,0,40,17.5,20.0,23.7,22.7,-6.2,-2.7,0.84,0.29
Calm,Closing,Orange,Wood,-30,30,26.7,16.7,23.7,22.7,3.0,-6.0,1.53,-0.48
Calm,Closing,Orange,Wood,-10,38,28.9,18.4,23.7,22.7,5.3,-4.3,1.51,-0.22
Calm,Closing,Purple,Earth,-10,35,25.7,20.0,23.7,22.7,2.0,-2.7,1.23,-0.71
Calm,Closing,Purple,Earth,0,82,22.0,15.9,23.7,22.7,-1.7,-6.8,1.33,-0.22
Calm,Closing,Purple,Fire,-20,30,23.3,16.7,23.7,22.7,-0.3,-6.0,1.34,-0.06
Calm,Closing,Purple,Fire,0,77,35.1,20.8,23.7,22.7,11.4,-1.9,1.62,-0.58
Calm,Closing,Purple,Metal,0,43,20.9,27.9,23.7,22.7,-2.7,5.2,0.72,0.75
Calm,Closing,Purple,Water,0,39,25.6,17.9,23.7,22.7,2.0,-4.7,1.37,-0.42
Calm,Closing,Purple,Wood,-20,30,26.7,30.0,23.7,22.7,3.0,7.3,0.85,0.45
Calm,Closing,Purple,Wood,-10,30,23.3,13.3,23.7,22.7,-0.3,-9.4,1.68,-0.08
Calm,Closing,Purple,Wood,0,39,20.5,30.8,23.7,22.7,-3.2,8.1,0.64,0.27
Calm,Closing,Yellow,Earth,-20,58,31.0,15.5,23.7,22.7,7.4,-7.2,1.92,-0.71
Calm,Closing,Yellow,Earth,-10,79,31.6,21.5,23.7,22.7,8.0,-1.2,1.41,-0.37
Calm,Closing,Yellow,Earth,0,110,19.1,23.6,23.7,22.7,-4.6,0.9,0.77,0.54
Calm,Closing,Yellow,Fire,-30,30,23.3,16.7,23.7,22.7,-0.3,-6.0,1.34,-0.19
Calm,Closing,Yellow,Fire,-20,70,22.9,18.6,23.7,22.7,-0.8,-4.1,1.18,0.07
Calm,Closing,Yellow,Fire,-10,105,23.8,20.0,23.7,22.7,0.1,-2.7,1.14,-0.04
Calm,Closing,Yellow,Fire,0,157,24.2,22.9,23.7,22.7,0.5,0.2,1.01,-0.04
Calm,Closing,Yellow,Metal,-20,41,24.4,19.5,23.7,22.7,0.7,-3.2,1.2,-0.11
Calm,Closing,Yellow,Metal,-10,60,11.7,40.0,23.7,22.7,-12.0,17.3,0.28,0.91
Calm,Closing,Yellow,Metal,0,94,22.3,19.1,23.7,22.7,-1.3,-3.5,1.12,-0.09
Calm,Closing,Yellow,Water,-20,65,20.0,15.4,23.7,22.7,-3.7,-7.3,1.25,-0.14
Calm,Closing,Yellow,Water,-10,73,26.0,17.8,23.7,22.7,2.4,-4.9,1.4,-0.2
Calm,Closing,Yellow,Water,0,120,24.2,16.7,23.7,22.7,0.5,-6.0,1.39,-0.39
Calm,Closing,Yellow,Wood,-20,44,13.6,31.8,23.7,22.7,-10.0,9.1,0.41,0.91
Calm,Closing,Yellow,Wood,-10,60,30.0,25.0,23.7,22.7,6.3,2.3,1.15,-0.17
Calm,Closing,Yellow,Wood,0,110,27.3,24.5,23.7,22.7,3.6,1.9,1.07,-0.07
Calm,Mixed,Yellow,Fire,-20,30,36.7,23.3,33.1,22.2,3.6,1.1,1.06,-0.24
Calm,Mixed,Yellow,Fire,0,31,22.6,29.0,33.1,22.2,-10.5,6.8,0.52,0.57
Calm,Open,Blue,Earth,-30,48,25.0,25.0,28.5,20.8,-3.5,4.2,0.73,-0.03
Calm,Open,Blue,Earth,-20,58,22.4,27.6,28.5,20.8,-6.1,6.8,0.59,0.38
Calm,Open,Blue,Earth,-10,49,28.6,16.3,28.5,20.8,0.1,-4.5,1.28,-0.3
Calm,Open,Blue,Earth,0,97,24.7,23.7,28.5,20.8,-3.8,2.9,0.76,0.04
Calm,Open,Blue,Fire,-40,30,23.3,16.7,28.5,20.8,-5.2,-4.1,1.02,-0.56
Calm,Open,Blue,Fire,-30,43,27.9,20.9,28.5,20.8,-0.6,0.1,0.97,-0.25
Calm,Open,Blue,Fire,-20,96,26.0,24.0,28.5,20.8,-2.5,3.2,0.79,-0.11
Calm,Open,Blue,Fire,-10,75,17.3,17.3,28.5,20.8,-11.2,-3.5,0.73,0.33
Calm,Open,Blue,Fire,0,159,22.6,28.3,28.5,20.8,-5.9,7.5,0.58,0.15
Calm,Open,Blue,Metal,-30,46,34.8,23.9,28.5,20.8,6.3,3.1,1.06,-0.21
Calm,Open,Blue,Metal,-20,59,30.5,27.1,28.5,20.8,2.0,6.3,0.82,-0.01
Calm,Open,Blue,Metal,-10,62,22.6,22.6,28.5,20.8,-5.9,1.8,0.73,-0.02
