round_type,condition,color,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Blue,-30,40,22.5,30.0,25.2,22.8,-2.7,7.2,0.68,0.05
Closing,Calm,Blue,-20,83,19.3,38.6,25.2,22.8,-6.0,15.8,0.45,0.84
Closing,Calm,Blue,-10,116,26.7,25.9,25.2,22.8,1.5,3.1,0.93,0.1
Closing,Calm,Blue,0,134,23.9,20.9,25.2,22.8,-1.3,-1.9,1.03,-0.22
Closing,Calm,Blue,10,31,22.6,29.0,25.2,22.8,-2.6,6.2,0.7,0.39
Closing,Calm,Green,-20,36,33.3,11.1,25.2,22.8,8.1,-11.7,2.71,-0.77
Closing,Calm,Green,-10,35,28.6,22.9,25.2,22.8,3.3,0.1,1.13,-0.32
Closing,Calm,Green,0,128,21.1,21.9,25.2,22.8,-4.1,-0.9,0.87,0.02
Closing,Calm,Orange,-40,39,17.9,25.6,25.2,22.8,-7.3,2.8,0.63,0.22
Closing,Calm,Orange,-30,36,25.0,22.2,25.2,22.8,-0.2,-0.6,1.02,-0.53
Closing,Calm,Orange,-20,53,18.9,28.3,25.2,22.8,-6.4,5.5,0.6,0.19
Closing,Calm,Orange,-10,59,30.5,23.7,25.2,22.8,5.3,0.9,1.16,-0.21
Closing,Calm,Orange,0,69,17.4,24.6,25.2,22.8,-7.8,1.8,0.64,0.3
Closing,Calm,Purple,-30,31,45.2,12.9,25.2,22.8,19.9,-9.9,3.16,-1.44
Closing,Calm,Purple,-20,39,17.9,25.6,25.2,22.8,-7.3,2.8,0.63,0.05
Closing,Calm,Purple,-10,57,21.1,21.1,25.2,22.8,-4.2,-1.7,0.9,0.06
Closing,Calm,Purple,0,124,28.2,16.9,25.2,22.8,3.0,-5.9,1.51,-0.6
Closing,Calm,Purple,10,30,13.3,20.0,25.2,22.8,-11.9,-2.8,0.6,0.24
Closing,Calm,Yellow,-30,63,22.2,22.2,25.2,22.8,-3.0,-0.6,0.9,-0.31
Closing,Calm,Yellow,-20,175,22.3,29.7,25.2,22.8,-2.9,6.9,0.68,0.25
Closing,Calm,Yellow,-10,177,29.4,21.5,25.2,22.8,4.1,-1.3,1.24,-0.02
Closing,Calm,Yellow,0,353,26.6,21.0,25.2,22.8,1.4,-1.8,1.15,-0.26
Closing,Calm,Yellow,10,55,25.5,9.1,25.2,22.8,0.2,-13.7,2.53,-0.34
Closing,Moderate,Blue,-20,71,31.0,14.1,21.9,23.6,9.1,-9.5,2.37,-0.42
Closing,Moderate,Blue,-10,60,23.3,23.3,21.9,23.6,1.4,-0.3,1.08,0.17
Closing,Moderate,Blue,0,74,27.0,24.3,21.9,23.6,5.1,0.7,1.2,0.37
Closing,Moderate,Green,-20,40,22.5,25.0,21.9,23.6,0.6,1.4,0.97,0.29
Closing,Moderate,Green,0,64,18.8,31.3,21.9,23.6,-3.2,7.6,0.65,0.71
Closing,Moderate,Orange,-20,38,28.9,13.2,21.9,23.6,7.0,-10.5,2.37,-0.76
Closing,Moderate,Orange,-10,36,16.7,16.7,21.9,23.6,-5.3,-7.0,1.08,-0.03
Closing,Moderate,Purple,-20,41,14.6,29.3,21.9,23.6,-7.3,5.6,0.54,0.69
Closing,Moderate,Purple,0,67,22.4,22.4,21.9,23.6,0.5,-1.2,1.08,0.1
Closing,Moderate,Yellow,-30,34,17.6,17.6,21.9,23.6,-4.3,-6.0,1.08,0.21
Closing,Moderate,Yellow,-20,92,19.6,33.7,21.9,23.6,-2.4,10.1,0.63,0.71
Closing,Moderate,Yellow,-10,104,20.2,20.2,21.9,23.6,-1.7,-3.4,1.08,0.13
Closing,Moderate,Yellow,0,185,17.8,24.9,21.9,23.6,-4.1,1.2,0.77,0.46
Mixed,Calm,Blue,-20,45,33.3,26.7,30.0,29.5,3.3,-2.8,1.23,0.26
Mixed,Calm,Blue,0,33,33.3,27.3,30.0,29.5,3.3,-2.2,1.2,-0.17
Mixed,Calm,Green,0,45,31.1,35.6,30.0,29.5,1.1,6.1,0.86,0.61
Mixed,Calm,Orange,-20,32,25.0,40.6,30.0,29.5,-5.0,11.1,0.6,1.26
Mixed,Calm,Purple,-20,40,25.0,32.5,30.0,29.5,-5.0,3.0,0.76,1.15
Mixed,Calm,Purple,0,32,37.5,25.0,30.0,29.5,7.5,-4.5,1.47,-0.04
Mixed,Calm,Yellow,-20,79,26.6,29.1,30.0,29.5,-3.4,-0.4,0.9,0.57
Mixed,Calm,Yellow,0,68,33.8,30.9,30.0,29.5,3.8,1.4,1.08,0.43
Open,Calm,Blue,-30,86,29.1,23.3,28.7,22.6,0.3,0.7,0.98,-0.0
Open,Calm,Blue,-20,146,41.1,16.4,28.7,22.6,12.4,-6.1,1.96,-0.86
Open,Calm,Blue,-10,215,27.0,22.3,28.7,22.6,-1.8,-0.3,0.95,-0.13
Open,Calm,Blue,0,254,27.2,20.5,28.7,22.6,-1.6,-2.1,1.04,-0.27
Open,Calm,Blue,10,46,19.6,26.1,28.7,22.6,-9.2,3.5,0.59,0.09
Open,Calm,Green,-30,35,34.3,31.4,28.7,22.6,5.5,8.8,0.86,-0.04
Open,Calm,Green,-20,49,32.7,18.4,28.7,22.6,3.9,-4.2,1.4,-0.89
Open,Calm,Green,-10,162,29.0,21.6,28.7,22.6,0.3,-1.0,1.06,-0.07
Open,Calm,Green,0,273,29.7,22.7,28.7,22.6,0.9,0.1,1.03,-0.27
Open,Calm,Green,10,38,21.1,34.2,28.7,22.6,-7.7,11.6,0.48,0.93
Open,Calm,Orange,-40,50,32.0,6.0,28.7,22.6,3.3,-16.6,4.19,-0.89
Open,Calm,Orange,-30,41,29.3,22.0,28.7,22.6,0.5,-0.6,1.05,-0.37
Open,Calm,Orange,-20,101,32.7,24.8,28.7,22.6,3.9,2.2,1.04,-0.38
Open,Calm,Orange,-10,107,31.8,18.7,28.7,22.6,3.0,-3.9,1.34,-0.4
Open,Calm,Orange,0,62,29.0,21.0,28.7,22.6,0.3,-1.6,1.09,0.01
Open,Calm,Purple,-30,55,30.9,20.0,28.7,22.6,2.2,-2.6,1.21,-0.27
Open,Calm,Purple,-20,46,23.9,21.7,28.7,22.6,-4.8,-0.8,0.86,-0.0
Open,Calm,Purple,-10,176,36.9,17.0,28.7,22.6,8.2,-5.5,1.7,-0.68
Open,Calm,Purple,0,296,24.7,26.0,28.7,22.6,-4.1,3.4,0.75,0.12
Open,Calm,Purple,10,71,32.4,22.5,28.7,22.6,3.7,-0.0,1.13,-0.12
Open,Calm,Red,0,48,16.7,35.4,28.7,22.6,-12.1,12.8,0.37,1.14
Open,Calm,Yellow,-40,31,25.8,32.3,28.7,22.6,-2.9,9.7,0.63,0.33
Open,Calm,Yellow,-30,98,33.7,22.4,28.7,22.6,4.9,-0.1,1.18,-0.29
Open,Calm,Yellow,-20,221,30.3,23.5,28.7,22.6,1.6,0.9,1.01,-0.22
Open,Calm,Yellow,-10,404,26.0,21.0,28.7,22.6,-2.7,-1.5,0.97,-0.08
Open,Calm,Yellow,0,730,28.1,25.3,28.7,22.6,-0.7,2.8,0.87,-0.04
Open,Calm,Yellow,10,40,15.0,25.0,28.7,22.6,-13.7,2.4,0.47,0.56
Open,Moderate,Blue,-30,78,23.1,28.2,29.0,21.0,-5.9,7.2,0.59,0.23
Open,Moderate,Blue,-20,99,25.3,23.2,29.0,21.0,-3.7,2.2,0.79,-0.09
Open,Moderate,Blue,-10,65,23.1,26.2,29.0,21.0,-5.9,5.1,0.64,0.21
Open,Moderate,Blue,0,153,24.8,19.6,29.0,21.0,-4.2,-1.4,0.92,0.04
Open,Moderate,Green,-20,59,35.6,23.7,29.0,21.0,6.6,2.7,1.09,-0.56
Open,Moderate,Green,-10,46,32.6,28.3,29.0,21.0,3.6,7.2,0.84,0.43
Open,Moderate,Green,0,133,33.1,22.6,29.0,21.0,4.1,1.5,1.06,-0.42
Open,Moderate,Orange,-30,59,25.4,8.5,29.0,21.0,-3.6,-12.6,2.18,-0.41
Open,Moderate,Orange,-20,60,38.3,16.7,29.0,21.0,9.3,-4.4,1.67,-0.94
Open,Moderate,Orange,-10,35,28.6,28.6,29.0,21.0,-0.4,7.5,0.73,-0.1
Open,Moderate,Orange,0,79,38.0,17.7,29.0,21.0,9.0,-3.3,1.56,-0.64
Open,Moderate,Purple,-30,32,37.5,15.6,29.0,21.0,8.5,-5.4,1.74,-0.71
Open,Moderate,Purple,-20,73,24.7,26.0,29.0,21.0,-4.3,5.0,0.69,0.31
Open,Moderate,Purple,-10,67,34.3,23.9,29.0,21.0,5.3,2.8,1.04,-0.07
Open,Moderate,Purple,0,140,28.6,17.1,29.0,21.0,-0.4,-3.9,1.21,-0.4
Open,Moderate,Yellow,-30,101,29.7,16.8,29.0,21.0,0.7,-4.2,1.28,-0.66
Open,Moderate,Yellow,-20,191,31.4,20.9,29.0,21.0,2.4,-0.1,1.09,-0.24
Open,Moderate,Yellow,-10,158,26.6,22.2,29.0,21.0,-2.4,1.1,0.87,0.02
Open,Moderate,Yellow,0,342,28.4,20.5,29.0,21.0,-0.6,-0.6,1.01,-0.17
Positioning,Calm,Blue,-30,53,17.0,17.0,23.1,22.9,-6.2,-5.9,0.99,0.07
Positioning,Calm,Blue,-20,89,23.6,22.5,23.1,22.9,0.5,-0.4,1.04,0.04
Positioning,Calm,Blue,-10,112,23.2,22.3,23.1,22.9,0.1,-0.6,1.03,-0.02
Positioning,Calm,Blue,0,149,28.2,15.4,23.1,22.9,5.0,-7.5,1.81,-0.45
Positioning,Calm,Green,-20,46,19.6,32.6,23.1,22.9,-3.6,9.7,0.59,0.84
Positioning,Calm,Green,-10,61,27.9,19.7,23.1,22.9,4.7,-3.2,1.4,-0.3
Positioning,Calm,Green,0,110,28.2,21.8,23.1,22.9,5.0,-1.1,1.28,-0.11
Positioning,Calm,Orange,-40,33,18.2,24.2,23.1,22.9,-5.0,1.3,0.74,-0.21
Positioning,Calm,Orange,-30,55,10.9,27.3,23.1,22.9,-12.2,4.4,0.4,0.47
Positioning,Calm,Orange,-20,48,25.0,16.7,23.1,22.9,1.9,-6.2,1.49,-0.29
Positioning,Calm,Orange,-10,59,20.3,22.0,23.1,22.9,-2.8,-0.9,0.91,-0.07
Positioning,Calm,Orange,0,36,19.4,30.6,23.1,22.9,-3.7,7.6,0.63,0.68
Positioning,Calm,Purple,-20,63,22.2,30.2,23.1,22.9,-0.9,7.2,0.73,0.56
Positioning,Calm,Purple,-10,71,25.4,22.5,23.1,22.9,2.2,-0.4,1.11,0.08
Positioning,Calm,Purple,0,151,23.2,22.5,23.1,22.9,0.0,-0.4,1.02,-0.16
Positioning,Calm,Red,0,56,21.4,28.6,23.1,22.9,-1.7,5.7,0.74,0.32
Positioning,Calm,Yellow,-40,41,34.1,17.1,23.1,22.9,11.0,-5.8,1.98,-0.57
Positioning,Calm,Yellow,-30,51,17.6,19.6,23.1,22.9,-5.5,-3.3,0.89,0.38
Positioning,Calm,Yellow,-20,186,26.3,24.7,23.1,22.9,3.2,1.8,1.05,-0.04
Positioning,Calm,Yellow,-10,197,21.8,20.3,23.1,22.9,-1.3,-2.6,1.06,-0.17
