color,condition,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Purple,Calm,-30,267,25.5,23.2,26.5,22.5,-1.0,0.7,0.93,0.06
Purple,Calm,-20,616,27.9,22.4,26.5,22.5,1.4,-0.1,1.06,-0.07
Purple,Calm,-10,800,25.8,22.3,26.5,22.5,-0.7,-0.3,0.98,-0.08
Purple,Calm,0,1536,27.2,21.4,26.5,22.5,0.7,-1.2,1.08,-0.16
Purple,Calm,10,223,29.6,21.5,26.5,22.5,3.1,-1.0,1.17,-0.28
Purple,Moderate,-40,61,21.3,26.2,26.1,22.6,-4.7,3.6,0.71,0.05
Purple,Moderate,-30,194,34.5,18.6,26.1,22.6,8.5,-4.1,1.62,-0.35
Purple,Moderate,-20,364,24.7,25.3,26.1,22.6,-1.3,2.6,0.85,0.06
Purple,Moderate,-10,472,23.9,22.5,26.1,22.6,-2.1,-0.2,0.93,0.03
Purple,Moderate,0,962,27.0,22.5,26.1,22.6,1.0,-0.2,1.05,-0.2
Purple,Moderate,10,199,30.2,19.6,26.1,22.6,4.1,-3.0,1.34,-0.43
Purple,Tough,-30,33,18.2,21.2,24.0,23.9,-5.8,-2.7,0.85,0.26
Purple,Tough,-10,70,25.7,24.3,24.0,23.9,1.7,0.4,1.05,0.01
Purple,Tough,0,93,25.8,26.9,24.0,23.9,1.8,3.0,0.96,0.14
Red,Calm,-40,50,30.0,28.0,26.5,22.5,3.5,5.5,0.91,0.01
Red,Calm,-30,78,29.5,17.9,26.5,22.5,3.0,-4.6,1.4,-0.44
Red,Calm,-20,72,30.6,15.3,26.5,22.5,4.1,-7.2,1.7,-0.39
Red,Calm,-10,210,22.4,25.2,26.5,22.5,-4.1,2.7,0.75,0.04
Red,Calm,0,419,21.5,25.1,26.5,22.5,-5.0,2.5,0.73,0.28
Red,Moderate,-30,38,34.2,28.9,26.1,22.6,8.2,6.3,1.03,-0.05
Red,Moderate,-20,58,19.0,31.0,26.1,22.6,-7.1,8.4,0.53,0.43
Red,Moderate,-10,93,19.4,26.9,26.1,22.6,-6.7,4.3,0.63,0.33
Red,Moderate,0,192,29.7,25.5,26.1,22.6,3.6,2.9,1.01,0.03
Yellow,Calm,-40,367,24.3,21.5,26.5,22.5,-2.2,-1.0,0.96,0.08
Yellow,Calm,-30,767,30.0,22.7,26.5,22.5,3.5,0.2,1.12,-0.2
Yellow,Calm,-20,1608,28.2,21.9,26.5,22.5,1.7,-0.6,1.09,-0.17
Yellow,Calm,-10,2451,26.7,23.3,26.5,22.5,0.2,0.7,0.98,-0.01
Yellow,Calm,0,3551,26.5,21.9,26.5,22.5,0.0,-0.6,1.03,-0.08
Yellow,Calm,10,507,26.6,21.9,26.5,22.5,0.1,-0.6,1.03,-0.16
Yellow,Calm,20,136,20.6,28.7,26.5,22.5,-5.9,6.2,0.61,0.25
Yellow,Moderate,-40,188,24.5,25.0,26.1,22.6,-1.6,2.4,0.85,0.06
Yellow,Moderate,-30,506,25.9,21.9,26.1,22.6,-0.2,-0.7,1.02,-0.14
Yellow,Moderate,-20,1145,24.2,23.4,26.1,22.6,-1.9,0.8,0.9,0.09
Yellow,Moderate,-10,1657,25.8,23.3,26.1,22.6,-0.3,0.7,0.96,-0.01
Yellow,Moderate,0,2558,25.1,21.8,26.1,22.6,-1.0,-0.9,1.0,-0.03
Yellow,Moderate,10,372,26.1,19.4,26.1,22.6,0.0,-3.3,1.17,-0.28
Yellow,Moderate,20,83,27.7,16.9,26.1,22.6,1.7,-5.8,1.43,-0.57
Yellow,Tough,-30,75,26.7,20.0,24.0,23.9,2.6,-3.9,1.33,-0.32
Yellow,Tough,-20,114,25.4,21.1,24.0,23.9,1.4,-2.8,1.2,-0.04
Yellow,Tough,-10,189,24.3,24.3,24.0,23.9,0.3,0.4,0.99,-0.13
Yellow,Tough,0,164,19.5,25.0,24.0,23.9,-4.5,1.1,0.78,0.12
