condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Positioning,Green,Fire,52,28.8,17.3,23.1,22.9,5.7,-5.6,1.65,-0.4
Calm,Positioning,Green,Metal,58,34.5,17.2,23.1,22.9,11.3,-5.7,1.98,-0.2
Calm,Positioning,Green,Water,65,21.5,30.8,23.1,22.9,-1.6,7.9,0.69,0.38
Calm,Positioning,Green,Wood,44,29.5,25.0,23.1,22.9,6.4,2.1,1.17,-0.14
Calm,Positioning,Orange,Earth,48,16.7,29.2,23.1,22.9,-6.5,6.3,0.57,0.28
Calm,Positioning,Orange,Fire,60,13.3,28.3,23.1,22.9,-9.8,5.4,0.47,0.44
Calm,Positioning,Orange,Metal,45,26.7,24.4,23.1,22.9,3.5,1.5,1.08,0.13
Calm,Positioning,Orange,Water,38,15.8,23.7,23.1,22.9,-7.4,0.8,0.66,0.01
Calm,Positioning,Orange,Wood,48,20.8,14.6,23.1,22.9,-2.3,-8.3,1.41,-0.21
Calm,Positioning,Purple,Earth,68,23.5,23.5,23.1,22.9,0.4,0.6,0.99,0.2
Calm,Positioning,Purple,Fire,84,22.6,27.4,23.1,22.9,-0.5,4.5,0.82,0.31
Calm,Positioning,Purple,Metal,62,17.7,21.0,23.1,22.9,-5.4,-1.9,0.84,-0.21
Calm,Positioning,Purple,Water,83,26.5,28.9,23.1,22.9,3.4,6.0,0.91,0.23
Calm,Positioning,Purple,Wood,48,29.2,18.8,23.1,22.9,6.0,-4.2,1.54,-0.27
Calm,Positioning,Yellow,Earth,167,22.8,22.8,23.1,22.9,-0.4,-0.2,0.99,0.03
Calm,Positioning,Yellow,Fire,195,25.6,22.1,23.1,22.9,2.5,-0.9,1.15,-0.02
Calm,Positioning,Yellow,Metal,134,25.4,21.6,23.1,22.9,2.2,-1.3,1.16,-0.16
Calm,Positioning,Yellow,Water,173,16.8,27.2,23.1,22.9,-6.4,4.3,0.61,0.33
Calm,Positioning,Yellow,Wood,142,25.4,19.0,23.1,22.9,2.2,-3.9,1.32,-0.24
Calm,REMOVE,Blue,Earth,45,20.0,35.6,26.6,29.1,-6.6,6.5,0.62,0.73
Calm,REMOVE,Blue,Fire,61,27.9,27.9,26.6,29.1,1.3,-1.2,1.09,0.33
Calm,REMOVE,Blue,Metal,55,21.8,27.3,26.6,29.1,-4.8,-1.8,0.88,0.51
Calm,REMOVE,Blue,Water,50,22.0,38.0,26.6,29.1,-4.6,8.9,0.63,0.77
Calm,REMOVE,Blue,Wood,35,22.9,48.6,26.6,29.1,-3.7,19.5,0.51,1.4
Calm,REMOVE,Green,Earth,30,26.7,26.7,26.6,29.1,0.1,-2.4,1.09,-0.22
Calm,REMOVE,Green,Fire,30,20.0,20.0,26.6,29.1,-6.6,-9.1,1.09,-0.05
Calm,REMOVE,Green,Water,35,34.3,14.3,26.6,29.1,7.7,-14.8,2.63,-0.37
Calm,REMOVE,Orange,Fire,45,26.7,28.9,26.6,29.1,0.1,-0.2,1.01,-0.05
Calm,REMOVE,Purple,Fire,40,17.5,35.0,26.6,29.1,-9.1,5.9,0.55,0.86
Calm,REMOVE,Purple,Metal,32,40.6,12.5,26.6,29.1,14.1,-16.6,3.56,-1.23
Calm,REMOVE,Purple,Water,30,40.0,30.0,26.6,29.1,13.4,0.9,1.46,-0.67
Calm,REMOVE,Yellow,Earth,97,30.9,26.8,26.6,29.1,4.4,-2.3,1.26,-0.24
Calm,REMOVE,Yellow,Fire,129,27.1,26.4,26.6,29.1,0.6,-2.7,1.13,-0.1
Calm,REMOVE,Yellow,Metal,72,29.2,23.6,26.6,29.1,2.6,-5.5,1.35,-0.49
Calm,REMOVE,Yellow,Water,67,34.3,26.9,26.6,29.1,7.8,-2.2,1.4,-0.75
Calm,REMOVE,Yellow,Wood,74,25.7,36.5,26.6,29.1,-0.9,7.4,0.77,-0.03
Calm,Survival,Blue,Earth,127,28.3,17.3,26.3,21.7,2.1,-4.4,1.35,-0.31
Calm,Survival,Blue,Fire,159,23.9,24.5,26.3,21.7,-2.4,2.8,0.81,0.14
Calm,Survival,Blue,Metal,102,17.6,25.5,26.3,21.7,-8.6,3.8,0.57,0.51
