condition,round_type,color,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,GEMINI,37,16.2,18.9,24.7,22.6,-8.5,-3.7,0.78,0.26
Calm,Closing,Blue,LEO,30,26.7,33.3,24.7,22.6,2.0,10.7,0.73,0.07
Calm,Closing,Blue,PISCES,30,23.3,20.0,24.7,22.6,-1.4,-2.6,1.07,-0.41
Calm,Closing,Blue,SAGITTARIUS,31,32.3,25.8,24.7,22.6,7.5,3.2,1.14,-0.18
Calm,Closing,Blue,SCORPIO,33,15.2,39.4,24.7,22.6,-9.6,16.8,0.35,0.74
Calm,Closing,Purple,SCORPIO,30,33.3,16.7,24.7,22.6,8.6,-5.9,1.83,-0.5
Calm,Closing,Yellow,AQUARIUS,44,22.7,18.2,24.7,22.6,-2.0,-4.4,1.14,-0.29
Calm,Closing,Yellow,ARIES,51,25.5,23.5,24.7,22.6,0.8,0.9,0.99,-0.18
Calm,Closing,Yellow,CANCER,50,32.0,24.0,24.7,22.6,7.3,1.4,1.22,-0.01
Calm,Closing,Yellow,CAPRICORN,42,16.7,16.7,24.7,22.6,-8.0,-5.9,0.91,0.29
Calm,Closing,Yellow,GEMINI,77,18.2,27.3,24.7,22.6,-6.5,4.7,0.61,0.66
Calm,Closing,Yellow,LEO,38,31.6,10.5,24.7,22.6,6.9,-12.1,2.74,-0.82
Calm,Closing,Yellow,PISCES,72,30.6,23.6,24.7,22.6,5.8,1.0,1.18,-0.32
Calm,Closing,Yellow,SAGITTARIUS,43,23.3,27.9,24.7,22.6,-1.5,5.3,0.76,0.03
Calm,Closing,Yellow,SCORPIO,64,20.3,28.1,24.7,22.6,-4.4,5.5,0.66,0.3
Calm,Closing,Yellow,TAURUS,47,48.9,10.6,24.7,22.6,24.2,-12.0,4.21,-1.5
Calm,Closing,Yellow,VIRGO,37,37.8,13.5,24.7,22.6,13.1,-9.1,2.56,-0.89
Calm,Open,Blue,AQUARIUS,44,38.6,18.2,28.0,23.3,10.7,-5.1,1.77,-0.74
Calm,Open,Blue,ARIES,36,38.9,22.2,28.0,23.3,10.9,-1.1,1.46,-0.94
Calm,Open,Blue,CANCER,33,18.2,30.3,28.0,23.3,-9.8,7.0,0.5,0.84
Calm,Open,Blue,CAPRICORN,38,28.9,15.8,28.0,23.3,1.0,-7.5,1.53,-0.41
Calm,Open,Blue,GEMINI,57,31.6,5.3,28.0,23.3,3.6,-18.0,5.0,-0.96
Calm,Open,Blue,LEO,47,34.0,34.0,28.0,23.3,6.1,10.8,0.83,-0.09
Calm,Open,Blue,PISCES,56,28.6,16.1,28.0,23.3,0.6,-7.2,1.48,-0.6
Calm,Open,Blue,SAGITTARIUS,43,23.3,27.9,28.0,23.3,-4.7,4.6,0.69,-0.03
Calm,Open,Blue,SCORPIO,81,34.6,25.9,28.0,23.3,6.6,2.6,1.11,0.01
Calm,Open,Blue,TAURUS,31,38.7,19.4,28.0,23.3,10.7,-3.9,1.67,-0.49
Calm,Open,Blue,VIRGO,33,39.4,6.1,28.0,23.3,11.4,-17.2,5.41,-0.97
Calm,Open,Green,ARIES,42,26.2,26.2,28.0,23.3,-1.8,2.9,0.83,-0.15
Calm,Open,Green,CAPRICORN,43,20.9,27.9,28.0,23.3,-7.0,4.6,0.62,0.21
Calm,Open,Green,GEMINI,36,13.9,13.9,28.0,23.3,-14.1,-9.4,0.83,0.14
Calm,Open,Green,LEO,31,32.3,35.5,28.0,23.3,4.3,12.2,0.76,0.06
Calm,Open,Green,PISCES,61,29.5,18.0,28.0,23.3,1.5,-5.3,1.36,-0.25
Calm,Open,Green,SAGITTARIUS,32,34.4,34.4,28.0,23.3,6.4,11.1,0.83,0.07
Calm,Open,Green,SCORPIO,50,22.0,28.0,28.0,23.3,-6.0,4.7,0.65,0.27
Calm,Open,Orange,LEO,36,27.8,19.4,28.0,23.3,-0.2,-3.8,1.19,-0.46
Calm,Open,Orange,SCORPIO,30,40.0,23.3,28.0,23.3,12.0,0.0,1.43,-0.34
Calm,Open,Purple,AQUARIUS,36,16.7,16.7,28.0,23.3,-11.3,-6.6,0.83,0.25
Calm,Open,Purple,ARIES,51,29.4,15.7,28.0,23.3,1.4,-7.6,1.56,-0.3
Calm,Open,Purple,CAPRICORN,40,17.5,12.5,28.0,23.3,-10.5,-10.8,1.17,-0.25
Calm,Open,Purple,GEMINI,50,30.0,24.0,28.0,23.3,2.0,0.7,1.04,-0.13
Calm,Open,Purple,LEO,40,32.5,15.0,28.0,23.3,4.5,-8.3,1.8,-0.78
Calm,Open,Purple,PISCES,56,26.8,26.8,28.0,23.3,-1.2,3.5,0.83,0.05
Calm,Open,Purple,SAGITTARIUS,36,36.1,27.8,28.0,23.3,8.1,4.5,1.08,-0.07
Calm,Open,Purple,SCORPIO,64,28.1,25.0,28.0,23.3,0.2,1.7,0.94,0.27
Calm,Open,Yellow,AQUARIUS,89,27.0,18.0,28.0,23.3,-1.0,-5.3,1.25,-0.25
Calm,Open,Yellow,ARIES,97,19.6,18.6,28.0,23.3,-8.4,-4.7,0.88,-0.11
Calm,Open,Yellow,CANCER,65,29.2,33.8,28.0,23.3,1.3,10.6,0.72,-0.12
Calm,Open,Yellow,CAPRICORN,94,20.2,28.7,28.0,23.3,-7.8,5.4,0.59,0.7
Calm,Open,Yellow,GEMINI,139,30.9,21.6,28.0,23.3,3.0,-1.7,1.19,-0.25
Calm,Open,Yellow,LEO,72,33.3,18.1,28.0,23.3,5.4,-5.2,1.54,-0.28
Calm,Open,Yellow,LIBRA,45,20.0,40.0,28.0,23.3,-8.0,16.7,0.42,0.77
Calm,Open,Yellow,PISCES,148,29.7,20.9,28.0,23.3,1.8,-2.3,1.18,-0.21
Calm,Open,Yellow,SAGITTARIUS,94,20.2,28.7,28.0,23.3,-7.8,5.4,0.59,0.3
Calm,Open,Yellow,SCORPIO,110,19.1,38.2,28.0,23.3,-8.9,14.9,0.42,0.65
Calm,Open,Yellow,TAURUS,79,35.4,16.5,28.0,23.3,7.5,-6.8,1.79,-0.8
Calm,Open,Yellow,VIRGO,70,22.9,27.1,28.0,23.3,-5.1,3.9,0.7,0.38
Calm,Positioning,Blue,GEMINI,31,22.6,22.6,22.0,23.7,0.5,-1.1,1.07,-0.0
Calm,Positioning,Blue,LEO,31,35.5,9.7,22.0,23.7,13.4,-14.0,3.94,-0.97
Calm,Positioning,Blue,PISCES,36,25.0,19.4,22.0,23.7,3.0,-4.2,1.38,-0.11
Calm,Positioning,Blue,SCORPIO,34,14.7,29.4,22.0,23.7,-7.3,5.8,0.54,0.52
Calm,Positioning,Purple,SCORPIO,34,23.5,26.5,22.0,23.7,1.5,2.8,0.95,0.53
Calm,Positioning,Yellow,AQUARIUS,42,16.7,23.8,22.0,23.7,-5.4,0.2,0.75,0.11
Calm,Positioning,Yellow,ARIES,42,14.3,33.3,22.0,23.7,-7.7,9.7,0.46,0.86
Calm,Positioning,Yellow,CANCER,41,24.4,24.4,22.0,23.7,2.4,0.7,1.07,0.04
Calm,Positioning,Yellow,CAPRICORN,40,17.5,37.5,22.0,23.7,-4.5,13.8,0.5,0.63
Calm,Positioning,Yellow,GEMINI,64,14.1,26.6,22.0,23.7,-8.0,2.9,0.57,0.37
Calm,Positioning,Yellow,LEO,39,25.6,20.5,22.0,23.7,3.6,-3.1,1.34,-0.32
Calm,Positioning,Yellow,PISCES,72,20.8,23.6,22.0,23.7,-1.2,-0.0,0.95,0.24
Calm,Positioning,Yellow,SAGITTARIUS,39,25.6,17.9,22.0,23.7,3.6,-5.7,1.53,-0.04
Calm,Positioning,Yellow,SCORPIO,75,28.0,20.0,22.0,23.7,6.0,-3.7,1.5,-0.3
Calm,Positioning,Yellow,TAURUS,46,32.6,19.6,22.0,23.7,10.6,-4.1,1.79,-0.39
Calm,Positioning,Yellow,VIRGO,43,27.9,11.6,22.0,23.7,5.9,-12.0,2.58,-0.54
Calm,REMOVE,Yellow,AQUARIUS,34,26.5,32.4,27.0,29.3,-0.5,3.0,0.89,0.36
Calm,REMOVE,Yellow,ARIES,31,22.6,41.9,27.0,29.3,-4.4,12.6,0.58,-0.43
Calm,REMOVE,Yellow,CAPRICORN,39,25.6,23.1,27.0,29.3,-1.4,-6.2,1.21,-1.1
Calm,REMOVE,Yellow,GEMINI,32,28.1,21.9,27.0,29.3,1.1,-7.4,1.4,-0.24
Calm,REMOVE,Yellow,PISCES,39,25.6,41.0,27.0,29.3,-1.4,11.7,0.68,0.68
Calm,REMOVE,Yellow,SCORPIO,39,23.1,35.9,27.0,29.3,-3.9,6.6,0.7,0.46
Calm,Survival,Blue,AQUARIUS,33,12.1,12.1,26.3,22.6,-14.2,-10.5,0.86,-0.15
Calm,Survival,Blue,ARIES,44,25.0,15.9,26.3,22.6,-1.3,-6.7,1.35,0.04
Calm,Survival,Blue,GEMINI,46,28.3,17.4,26.3,22.6,2.0,-5.2,1.39,-0.25
Calm,Survival,Blue,LEO,35,20.0,25.7,26.3,22.6,-6.3,3.1,0.67,0.56
Calm,Survival,Blue,PISCES,55,14.5,29.1,26.3,22.6,-11.8,6.5,0.43,0.66
Calm,Survival,Blue,SAGITTARIUS,36,25.0,22.2,26.3,22.6,-1.3,-0.4,0.97,0.06
Calm,Survival,Blue,SCORPIO,51,21.6,21.6,26.3,22.6,-4.7,-1.0,0.86,0.19
Calm,Survival,Blue,VIRGO,31,16.1,12.9,26.3,22.6,-10.2,-9.7,1.07,-0.18
Calm,Survival,Green,ARIES,38,26.3,21.1,26.3,22.6,0.0,-1.5,1.07,0.14
Calm,Survival,Green,CAPRICORN,37,18.9,40.5,26.3,22.6,-7.4,18.0,0.4,1.32
Calm,Survival,Green,GEMINI,39,20.5,23.1,26.3,22.6,-5.8,0.5,0.76,0.18
Calm,Survival,Green,PISCES,46,21.7,26.1,26.3,22.6,-4.6,3.5,0.72,0.05
Calm,Survival,Green,SAGITTARIUS,31,38.7,16.1,26.3,22.6,12.4,-6.4,2.06,0.15
Calm,Survival,Green,SCORPIO,36,19.4,36.1,26.3,22.6,-6.9,13.5,0.46,0.6
Calm,Survival,Orange,GEMINI,30,33.3,16.7,26.3,22.6,7.0,-5.9,1.72,-0.59
Calm,Survival,Purple,ARIES,33,21.2,33.3,26.3,22.6,-5.1,10.8,0.55,0.76
Calm,Survival,Purple,CAPRICORN,34,32.4,20.6,26.3,22.6,6.1,-2.0,1.35,-0.05
Calm,Survival,Purple,GEMINI,32,25.0,31.3,26.3,22.6,-1.3,8.7,0.69,0.23
Calm,Survival,Purple,PISCES,48,20.8,39.6,26.3,22.6,-5.5,17.0,0.45,1.03
Calm,Survival,Purple,SCORPIO,44,31.8,13.6,26.3,22.6,5.5,-8.9,2.0,-0.36
Calm,Survival,Yellow,AQUARIUS,79,31.6,24.1,26.3,22.6,5.3,1.5,1.13,-0.1
Calm,Survival,Yellow,ARIES,67,14.9,16.4,26.3,22.6,-11.4,-6.2,0.78,0.12
Calm,Survival,Yellow,CANCER,53,34.0,17.0,26.3,22.6,7.7,-5.6,1.72,-0.62
Calm,Survival,Yellow,CAPRICORN,84,26.2,19.0,26.3,22.6,-0.1,-3.5,1.18,-0.11
Calm,Survival,Yellow,GEMINI,103,26.2,28.2,26.3,22.6,-0.1,5.6,0.8,0.39
Calm,Survival,Yellow,LEO,60,28.3,25.0,26.3,22.6,2.0,2.4,0.97,-0.16
Calm,Survival,Yellow,LIBRA,35,28.6,31.4,26.3,22.6,2.3,8.9,0.78,0.39
Calm,Survival,Yellow,PISCES,96,22.9,20.8,26.3,22.6,-3.4,-1.7,0.94,0.01
Calm,Survival,Yellow,SAGITTARIUS,84,23.8,25.0,26.3,22.6,-2.5,2.4,0.82,0.01
Calm,Survival,Yellow,SCORPIO,109,30.3,21.1,26.3,22.6,4.0,-1.5,1.23,0.04
Calm,Survival,Yellow,TAURUS,52,26.9,25.0,26.3,22.6,0.6,2.4,0.92,0.08
Calm,Survival,Yellow,VIRGO,47,27.7,21.3,26.3,22.6,1.4,-1.3,1.12,-0.43
Moderate,Closing,Yellow,GEMINI,33,24.2,24.2,20.2,24.3,4.0,-0.1,1.2,0.27
Moderate,Closing,Yellow,PISCES,39,25.6,17.9,20.2,24.3,5.4,-6.4,1.72,-0.05
Moderate,Closing,Yellow,SCORPIO,44,6.8,27.3,20.2,24.3,-13.4,2.9,0.3,0.96
Moderate,Open,Blue,ARIES,34,14.7,26.5,27.6,21.7,-12.9,4.8,0.44,0.41
Moderate,Open,Blue,GEMINI,36,33.3,22.2,27.6,21.7,5.7,0.5,1.18,-0.46
Moderate,Open,Blue,PISCES,35,20.0,28.6,27.6,21.7,-7.6,6.9,0.55,0.65
Moderate,Open,Blue,SCORPIO,40,20.0,17.5,27.6,21.7,-7.6,-4.2,0.9,0.02
Moderate,Open,Yellow,AQUARIUS,40,35.0,15.0,27.6,21.7,7.4,-6.7,1.83,-0.41
Moderate,Open,Yellow,ARIES,50,26.0,24.0,27.6,21.7,-1.6,2.3,0.85,0.07
Moderate,Open,Yellow,CANCER,43,23.3,11.6,27.6,21.7,-4.4,-10.1,1.57,-0.74
Moderate,Open,Yellow,CAPRICORN,51,31.4,23.5,27.6,21.7,3.7,1.8,1.05,-0.15
Moderate,Open,Yellow,GEMINI,76,27.6,25.0,27.6,21.7,0.0,3.3,0.87,-0.22
Moderate,Open,Yellow,LEO,37,16.2,13.5,27.6,21.7,-11.4,-8.2,0.94,0.45
