color,condition,exec_bucket,upside_bucket,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Purple,Calm,25,75,-40,52,25.0,25.0,26.5,23.3,-1.5,1.7,0.88,0.44
Purple,Calm,25,75,-30,129,38.0,19.4,26.5,23.3,11.5,-4.0,1.72,-0.73
Purple,Calm,50,50,-10,179,30.7,22.9,26.5,23.3,4.2,-0.4,1.18,-0.14
Purple,Calm,50,50,0,606,26.2,23.6,26.5,23.3,-0.3,0.3,0.98,-0.12
Purple,Calm,50,50,10,60,21.7,28.3,26.5,23.3,-4.9,5.0,0.67,0.79
Purple,Calm,50,75,-20,90,18.9,27.8,26.5,23.3,-7.6,4.4,0.6,0.46
Purple,Calm,50,75,-10,127,27.6,20.5,26.5,23.3,1.0,-2.9,1.18,-0.08
Purple,Calm,50,75,0,98,25.5,18.4,26.5,23.3,-1.0,-5.0,1.22,-0.22
Purple,Calm,75,50,0,113,21.2,25.7,26.5,23.3,-5.3,2.3,0.73,0.44
Purple,Calm,75,50,10,79,25.3,21.5,26.5,23.3,-1.2,-1.8,1.04,-0.35
Purple,Moderate,25,50,-30,31,25.8,22.6,26.4,21.8,-0.6,0.8,0.94,0.47
Purple,Moderate,25,50,-20,43,23.3,11.6,26.4,21.8,-3.2,-10.1,1.65,-0.46
Purple,Moderate,25,50,-10,36,22.2,19.4,26.4,21.8,-4.2,-2.3,0.94,-0.4
Purple,Moderate,25,75,-20,32,21.9,18.8,26.4,21.8,-4.6,-3.0,0.96,-0.08
Purple,Moderate,50,50,-10,81,33.3,22.2,26.4,21.8,6.9,0.5,1.23,0.04
Purple,Moderate,50,50,0,270,25.6,21.5,26.4,21.8,-0.9,-0.3,0.98,-0.19
Purple,Moderate,50,75,-20,84,17.9,31.0,26.4,21.8,-8.6,9.2,0.47,0.57
Purple,Moderate,50,75,-10,69,42.0,14.5,26.4,21.8,15.6,-7.3,2.39,-1.03
Purple,Moderate,50,75,0,30,36.7,23.3,26.4,21.8,10.2,1.6,1.29,-0.03
Purple,Moderate,75,50,0,36,27.8,16.7,26.4,21.8,1.3,-5.1,1.37,-0.2
Purple,Moderate,75,50,10,38,18.4,28.9,26.4,21.8,-8.0,7.2,0.52,0.5
Purple,Tough,50,50,0,35,11.4,22.9,17.7,24.4,-6.2,-1.6,0.69,0.24
Red,Calm,25,50,-20,57,36.8,21.1,26.5,23.3,10.3,-2.3,1.54,-0.51
Red,Calm,25,75,-30,41,26.8,34.1,26.5,23.3,0.3,10.8,0.69,0.7
Red,Calm,50,50,0,144,25.7,24.3,26.5,23.3,-0.8,1.0,0.93,0.13
Red,Calm,75,50,0,31,25.8,32.3,26.5,23.3,-0.7,8.9,0.7,0.74
Red,Moderate,50,50,0,54,27.8,27.8,26.4,21.8,1.3,6.0,0.82,0.08
Red,Moderate,50,75,-20,32,40.6,18.8,26.4,21.8,14.2,-3.0,1.78,-1.04
Yellow,Calm,25,25,-10,106,26.4,16.0,26.5,23.3,-0.1,-7.3,1.45,-0.31
Yellow,Calm,25,25,0,86,20.9,23.3,26.5,23.3,-5.6,-0.1,0.79,0.33
Yellow,Calm,25,50,-30,58,24.1,25.9,26.5,23.3,-2.4,2.5,0.82,0.18
Yellow,Calm,25,50,-20,438,26.9,24.2,26.5,23.3,0.4,0.9,0.98,-0.07
Yellow,Calm,25,50,-10,330,24.2,23.3,26.5,23.3,-2.3,-0.0,0.91,0.19
Yellow,Calm,25,50,0,75,26.7,33.3,26.5,23.3,0.1,10.0,0.7,0.56
Yellow,Calm,25,75,-50,35,28.6,17.1,26.5,23.3,2.0,-6.2,1.47,-0.53
