round_type,condition,color,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Blue,25,25,54,31.5,18.5,23.7,22.7,7.8,-4.2,1.63,-0.15
Closing,Calm,Blue,25,50,171,18.7,22.8,23.7,22.7,-5.0,0.1,0.79,0.06
Closing,Calm,Blue,25,75,76,10.5,22.4,23.7,22.7,-13.1,-0.3,0.45,0.56
Closing,Calm,Blue,50,50,244,27.0,23.4,23.7,22.7,3.4,0.6,1.11,-0.09
Closing,Calm,Blue,50,75,240,22.5,25.0,23.7,22.7,-1.2,2.3,0.86,-0.03
Closing,Calm,Blue,75,50,92,18.5,28.3,23.7,22.7,-5.2,5.5,0.63,0.38
Closing,Calm,Green,25,50,95,25.3,24.2,23.7,22.7,1.6,1.5,1.0,-0.15
Closing,Calm,Green,25,75,40,30.0,20.0,23.7,22.7,6.3,-2.7,1.44,-0.49
Closing,Calm,Green,50,50,258,24.4,19.8,23.7,22.7,0.8,-2.9,1.19,-0.16
Closing,Calm,Green,50,75,86,24.4,22.1,23.7,22.7,0.8,-0.6,1.06,-0.01
Closing,Calm,Green,75,50,43,32.6,11.6,23.7,22.7,8.9,-11.1,2.69,-0.94
Closing,Calm,Orange,25,25,39,17.9,17.9,23.7,22.7,-5.7,-4.8,0.96,0.11
Closing,Calm,Orange,25,50,260,26.5,24.2,23.7,22.7,2.9,1.5,1.05,-0.08
Closing,Calm,Orange,25,75,116,27.6,22.4,23.7,22.7,3.9,-0.3,1.18,-0.32
Closing,Calm,Orange,50,50,168,21.4,22.0,23.7,22.7,-2.2,-0.7,0.93,0.15
Closing,Calm,Orange,50,75,157,23.6,20.4,23.7,22.7,-0.1,-2.3,1.11,-0.08
Closing,Calm,Orange,75,50,79,27.8,26.6,23.7,22.7,4.2,3.9,1.01,-0.05
Closing,Calm,Purple,25,50,120,26.7,19.2,23.7,22.7,3.0,-3.5,1.34,-0.24
Closing,Calm,Purple,25,75,42,11.9,23.8,23.7,22.7,-11.8,1.1,0.48,0.5
Closing,Calm,Purple,50,50,280,27.5,21.1,23.7,22.7,3.8,-1.6,1.25,-0.17
Closing,Calm,Purple,50,75,118,20.3,24.6,23.7,22.7,-3.3,1.9,0.79,0.12
Closing,Calm,Purple,75,50,56,30.4,14.3,23.7,22.7,6.7,-8.4,2.04,-0.74
Closing,Calm,Red,50,50,64,9.4,37.5,23.7,22.7,-14.3,14.8,0.24,1.09
Closing,Calm,Yellow,25,25,65,20.0,27.7,23.7,22.7,-3.7,5.0,0.69,0.42
Closing,Calm,Yellow,25,50,246,25.2,19.9,23.7,22.7,1.5,-2.8,1.21,-0.16
Closing,Calm,Yellow,25,75,113,28.3,27.4,23.7,22.7,4.7,4.7,0.99,0.02
Closing,Calm,Yellow,50,25,50,30.0,8.0,23.7,22.7,6.3,-14.7,3.6,-0.79
Closing,Calm,Yellow,50,50,529,23.4,22.9,23.7,22.7,-0.2,0.2,0.98,0.05
Closing,Calm,Yellow,50,75,370,21.4,22.4,23.7,22.7,-2.3,-0.3,0.91,-0.01
Closing,Calm,Yellow,75,50,158,23.4,25.9,23.7,22.7,-0.3,3.2,0.87,0.3
Closing,Moderate,Blue,25,50,92,29.3,16.3,26.5,20.9,2.8,-4.6,1.42,-0.59
