condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,95,22.1,30.5,25.3,23.4,-3.2,7.2,0.67,0.13
Calm,Closing,Blue,Fire,102,33.3,26.5,25.3,23.4,8.1,3.1,1.16,-0.09
Calm,Closing,Blue,Metal,96,19.8,30.2,25.3,23.4,-5.5,6.8,0.61,0.36
Calm,Closing,Blue,Wood,57,14.0,24.6,25.3,23.4,-11.2,1.2,0.53,0.49
Calm,Closing,Green,Earth,61,31.1,11.5,25.3,23.4,5.9,-11.9,2.51,-0.62
Calm,Closing,Green,Fire,54,24.1,18.5,25.3,23.4,-1.2,-4.8,1.2,-0.27
Calm,Closing,Green,Metal,43,20.9,30.2,25.3,23.4,-4.3,6.9,0.64,0.0
Calm,Closing,Green,Wood,42,14.3,23.8,25.3,23.4,-11.0,0.4,0.55,0.45
Calm,Closing,Orange,Earth,55,30.9,21.8,25.3,23.4,5.6,-1.5,1.31,-0.55
Calm,Closing,Orange,Fire,69,20.3,27.5,25.3,23.4,-5.0,4.2,0.68,0.22
Calm,Closing,Orange,Metal,56,26.8,25.0,25.3,23.4,1.5,1.6,0.99,-0.01
Calm,Closing,Orange,Wood,47,29.8,21.3,25.3,23.4,4.5,-2.1,1.29,-0.32
Calm,Closing,Purple,Earth,64,21.9,21.9,25.3,23.4,-3.4,-1.5,0.92,-0.11
Calm,Closing,Purple,Fire,57,29.8,14.0,25.3,23.4,4.5,-9.3,1.96,-0.5
Calm,Closing,Purple,Metal,52,26.9,15.4,25.3,23.4,1.6,-8.0,1.62,-0.42
Calm,Closing,Purple,Wood,46,26.1,19.6,25.3,23.4,0.8,-3.8,1.23,-0.54
Calm,Closing,Yellow,Earth,194,22.7,20.6,25.3,23.4,-2.6,-2.7,1.02,0.09
Calm,Closing,Yellow,Fire,204,24.5,24.0,25.3,23.4,-0.8,0.7,0.94,-0.18
Calm,Closing,Yellow,Metal,139,31.7,22.3,25.3,23.4,6.4,-1.1,1.31,-0.28
Calm,Closing,Yellow,Wood,154,26.6,27.3,25.3,23.4,1.3,3.9,0.9,0.15
