condition,round_type,color,moon_2bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Krishna,162,25.3,27.2,25.2,22.8,0.1,4.4,0.84,0.2
Calm,Closing,Blue,Shukla,274,23.0,26.6,25.2,22.8,-2.2,3.8,0.78,0.1
Calm,Closing,Green,Krishna,107,19.6,25.2,25.2,22.8,-5.6,2.4,0.7,0.06
Calm,Closing,Green,Shukla,144,25.7,17.4,25.2,22.8,0.5,-5.4,1.34,-0.3
Calm,Closing,Orange,Krishna,104,19.2,25.0,25.2,22.8,-6.0,2.2,0.7,-0.0
Calm,Closing,Orange,Shukla,178,27.0,24.2,25.2,22.8,1.7,1.4,1.01,-0.08
Calm,Closing,Purple,Krishna,121,24.8,21.5,25.2,22.8,-0.4,-1.3,1.04,-0.21
Calm,Closing,Purple,Shukla,175,28.0,17.1,25.2,22.8,2.8,-5.7,1.48,-0.48
Calm,Closing,Yellow,Krishna,410,20.5,25.6,25.2,22.8,-4.7,2.8,0.72,0.22
Calm,Closing,Yellow,Shukla,455,31.2,19.6,25.2,22.8,6.0,-3.2,1.44,-0.39
Calm,Elimination,Blue,Krishna,30,26.7,30.0,28.2,24.8,-1.5,5.2,0.78,0.48
Calm,Elimination,Yellow,Krishna,37,24.3,18.9,28.2,24.8,-3.9,-5.9,1.13,-0.04
Calm,Mixed,Blue,Krishna,46,15.2,43.5,30.0,29.5,-14.8,14.0,0.34,1.65
Calm,Mixed,Blue,Shukla,59,44.1,18.6,30.0,29.5,14.1,-10.8,2.32,-0.82
Calm,Mixed,Green,Krishna,39,12.8,48.7,30.0,29.5,-17.2,19.2,0.26,1.77
Calm,Mixed,Green,Shukla,54,44.4,11.1,30.0,29.5,14.4,-18.4,3.93,-0.97
Calm,Mixed,Orange,Krishna,30,3.3,76.7,30.0,29.5,-26.7,47.2,0.04,3.96
Calm,Mixed,Purple,Krishna,47,19.1,38.3,30.0,29.5,-10.9,8.8,0.49,1.48
Calm,Mixed,Purple,Shukla,59,44.1,15.3,30.0,29.5,14.1,-14.2,2.84,-0.67
Calm,Mixed,Yellow,Krishna,119,21.8,36.1,30.0,29.5,-8.2,6.7,0.59,1.26
Calm,Mixed,Yellow,Shukla,79,43.0,17.7,30.0,29.5,13.0,-11.8,2.39,-1.02
Calm,Open,Blue,Krishna,238,33.2,19.3,28.7,22.6,4.5,-3.3,1.35,-0.41
Calm,Open,Blue,Shukla,552,27.5,22.1,28.7,22.6,-1.2,-0.5,0.98,-0.21
Calm,Open,Green,Krishna,226,30.5,21.7,28.7,22.6,1.8,-0.9,1.11,-0.13
Calm,Open,Green,Shukla,349,29.5,24.1,28.7,22.6,0.8,1.5,0.96,-0.26
Calm,Open,Orange,Krishna,160,33.1,16.9,28.7,22.6,4.4,-5.7,1.54,-0.44
Calm,Open,Orange,Shukla,223,29.6,21.1,28.7,22.6,0.9,-1.5,1.1,-0.36
Calm,Open,Purple,Krishna,214,33.2,19.2,28.7,22.6,4.4,-3.4,1.36,-0.4
Calm,Open,Purple,Shukla,441,27.4,23.6,28.7,22.6,-1.3,1.0,0.91,-0.06
Calm,Open,Red,Shukla,73,20.5,31.5,28.7,22.6,-8.2,8.9,0.51,0.62
Calm,Open,Yellow,Krishna,547,31.6,21.6,28.7,22.6,2.9,-1.0,1.15,-0.33
Calm,Open,Yellow,Shukla,1024,25.3,24.9,28.7,22.6,-3.4,2.3,0.8,0.06
Calm,Positioning,Blue,Krishna,205,20.0,21.5,23.1,22.9,-3.1,-1.4,0.92,0.13
Calm,Positioning,Blue,Shukla,247,27.5,18.6,23.1,22.9,4.4,-4.3,1.46,-0.31
Calm,Positioning,Green,Krishna,149,24.2,22.1,23.1,22.9,1.0,-0.8,1.08,0.0
Calm,Positioning,Green,Shukla,125,28.0,24.0,23.1,22.9,4.9,1.1,1.16,0.07
Calm,Positioning,Orange,Krishna,103,14.6,24.3,23.1,22.9,-8.6,1.4,0.59,0.19
Calm,Positioning,Orange,Shukla,136,21.3,24.3,23.1,22.9,-1.8,1.4,0.87,0.12
Calm,Positioning,Purple,Krishna,174,18.4,27.0,23.1,22.9,-4.7,4.1,0.67,0.26
Calm,Positioning,Purple,Shukla,171,29.2,22.2,23.1,22.9,6.1,-0.7,1.3,-0.07
Calm,Positioning,Red,Krishna,47,19.1,31.9,23.1,22.9,-4.0,9.0,0.59,0.36
Calm,Positioning,Red,Shukla,32,21.9,25.0,23.1,22.9,-1.3,2.1,0.87,0.25
