condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,50,AQUARIUS,59,35.6,13.6,23.6,22.7,12.0,-9.2,2.53,-0.73
Calm,Closing,25,50,ARIES,86,22.1,17.4,23.6,22.7,-1.5,-5.3,1.22,-0.18
Calm,Closing,25,50,CANCER,98,26.5,24.5,23.6,22.7,2.9,1.8,1.04,-0.28
Calm,Closing,25,50,CAPRICORN,73,30.1,19.2,23.6,22.7,6.5,-3.6,1.51,-0.44
Calm,Closing,25,50,GEMINI,106,17.0,19.8,23.6,22.7,-6.6,-2.9,0.83,-0.01
Calm,Closing,25,50,LEO,92,20.7,22.8,23.6,22.7,-2.9,0.1,0.87,0.29
Calm,Closing,25,50,LIBRA,36,25.0,22.2,23.6,22.7,1.4,-0.5,1.08,-0.2
Calm,Closing,25,50,PISCES,89,24.7,22.5,23.6,22.7,1.1,-0.3,1.06,-0.24
Calm,Closing,25,50,SAGITTARIUS,86,24.4,20.9,23.6,22.7,0.8,-1.8,1.12,-0.05
Calm,Closing,25,50,SCORPIO,99,23.2,31.3,23.6,22.7,-0.4,8.6,0.71,0.23
Calm,Closing,25,50,TAURUS,43,16.3,25.6,23.6,22.7,-7.3,2.8,0.61,0.45
Calm,Closing,25,50,VIRGO,75,26.7,21.3,23.6,22.7,3.1,-1.4,1.2,-0.01
Calm,Closing,25,75,ARIES,42,28.6,23.8,23.6,22.7,5.0,1.1,1.16,0.22
Calm,Closing,25,75,CANCER,38,34.2,15.8,23.6,22.7,10.6,-6.9,2.09,-0.35
Calm,Closing,25,75,CAPRICORN,39,41.0,12.8,23.6,22.7,17.4,-9.9,3.08,-1.25
Calm,Closing,25,75,GEMINI,43,20.9,23.3,23.6,22.7,-2.7,0.5,0.87,0.21
Calm,Closing,25,75,LEO,39,15.4,23.1,23.6,22.7,-8.2,0.3,0.64,0.53
Calm,Closing,25,75,PISCES,41,17.1,34.1,23.6,22.7,-6.5,11.4,0.48,0.17
