condition,round_type,exec_bucket,upside_bucket,moon_paksha,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,0,0,Shukla,50,24.0,24.0,25.1,23.0,-1.1,1.0,0.92,0.09
Calm,Closing,25,25,Krishna,35,31.4,28.6,25.1,23.0,6.4,5.5,1.01,0.63
Calm,Closing,25,25,Shukla,66,25.8,22.7,25.1,23.0,0.7,-0.3,1.04,-0.16
Calm,Closing,25,50,Krishna,135,18.5,31.1,25.1,23.0,-6.5,8.1,0.55,0.5
Calm,Closing,25,50,Shukla,283,29.3,25.4,25.1,23.0,4.3,2.4,1.06,-0.2
Calm,Closing,25,75,Krishna,130,23.8,25.4,25.1,23.0,-1.2,2.4,0.86,0.1
Calm,Closing,25,75,Shukla,71,33.8,22.5,25.1,23.0,8.7,-0.5,1.38,-0.43
Calm,Closing,50,25,Krishna,31,35.5,22.6,25.1,23.0,10.4,-0.4,1.44,-0.26
Calm,Closing,50,50,Krishna,339,20.1,24.2,25.1,23.0,-5.0,1.2,0.76,0.11
Calm,Closing,50,50,Shukla,362,26.8,17.1,25.1,23.0,1.7,-5.9,1.44,-0.35
Calm,Closing,50,75,Krishna,170,21.8,23.5,25.1,23.0,-3.3,0.5,0.85,-0.04
Calm,Closing,50,75,Shukla,303,23.8,23.1,25.1,23.0,-1.3,0.1,0.95,0.03
Calm,Closing,75,50,Krishna,80,18.8,20.0,25.1,23.0,-6.3,-3.0,0.86,-0.2
Calm,Closing,75,50,Shukla,147,34.7,16.3,25.1,23.0,9.6,-6.7,1.95,-0.57
Calm,Elimination,50,50,Krishna,69,30.4,26.1,28.2,24.8,2.2,1.3,1.03,0.27
Calm,Mixed,25,50,Krishna,83,10.8,49.4,29.5,30.7,-18.7,18.7,0.23,2.49
Calm,Mixed,25,50,Shukla,104,38.5,15.4,29.5,30.7,9.0,-15.3,2.6,-0.71
Calm,Mixed,50,50,Krishna,58,32.8,20.7,29.5,30.7,3.3,-10.0,1.64,0.03
Calm,Mixed,50,50,Shukla,83,45.8,14.5,29.5,30.7,16.3,-16.2,3.29,-0.94
Calm,Mixed,50,75,Krishna,95,11.6,52.6,29.5,30.7,-17.9,22.0,0.23,2.06
Calm,Mixed,50,75,Shukla,51,43.1,9.8,29.5,30.7,13.6,-20.9,4.57,-1.15
Calm,Mixed,75,75,Krishna,30,0.0,70.0,29.5,30.7,-29.5,39.3,0.0,4.09
Calm,Open,0,0,Krishna,133,12.8,41.4,27.6,23.8,-14.8,17.5,0.27,2.11
