condition,round_type,color,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,1.0,77,23.4,24.7,23.7,22.7,-0.3,2.0,0.91,-0.14
Calm,Closing,Blue,2.0,124,24.2,18.5,23.7,22.7,0.5,-4.1,1.25,-0.14
Calm,Closing,Blue,3.0,112,24.1,24.1,23.7,22.7,0.4,1.4,0.96,-0.04
Calm,Closing,Blue,4.0,80,26.3,28.8,23.7,22.7,2.6,6.1,0.88,-0.03
Calm,Closing,Blue,5.0,96,19.8,27.1,23.7,22.7,-3.9,4.4,0.7,0.32
Calm,Closing,Blue,6.0,83,22.9,25.3,23.7,22.7,-0.8,2.6,0.87,0.2
Calm,Closing,Blue,7.0,95,21.1,22.1,23.7,22.7,-2.6,-0.6,0.91,-0.1
Calm,Closing,Blue,8.0,117,17.1,27.4,23.7,22.7,-6.6,4.7,0.6,0.35
Calm,Closing,Blue,9.0,110,24.5,18.2,23.7,22.7,0.9,-4.5,1.29,-0.11
Calm,Closing,Green,1.0,73,28.8,23.3,23.7,22.7,5.1,0.6,1.18,-0.23
Calm,Closing,Green,2.0,86,25.6,19.8,23.7,22.7,1.9,-2.9,1.24,-0.17
Calm,Closing,Green,3.0,73,26.0,20.5,23.7,22.7,2.4,-2.1,1.21,-0.46
Calm,Closing,Green,4.0,47,38.3,17.0,23.7,22.7,14.6,-5.7,2.16,-0.75
Calm,Closing,Green,5.0,37,32.4,27.0,23.7,22.7,8.8,4.3,1.15,0.13
Calm,Closing,Green,6.0,66,24.2,22.7,23.7,22.7,0.6,0.0,1.02,-0.06
Calm,Closing,Green,7.0,71,26.8,18.3,23.7,22.7,3.1,-4.4,1.4,-0.36
Calm,Closing,Green,8.0,62,19.4,21.0,23.7,22.7,-4.3,-1.7,0.88,0.11
Calm,Closing,Green,9.0,49,8.2,24.5,23.7,22.7,-15.5,1.8,0.32,0.77
Calm,Closing,Orange,1.0,99,28.3,26.3,23.7,22.7,4.6,3.6,1.03,-0.04
Calm,Closing,Orange,2.0,90,23.3,24.4,23.7,22.7,-0.3,1.8,0.92,-0.02
Calm,Closing,Orange,3.0,105,28.6,28.6,23.7,22.7,4.9,5.9,0.96,-0.07
Calm,Closing,Orange,4.0,84,29.8,10.7,23.7,22.7,6.1,-12.0,2.66,-0.74
Calm,Closing,Orange,5.0,76,18.4,27.6,23.7,22.7,-5.2,4.9,0.64,0.57
Calm,Closing,Orange,6.0,71,15.5,23.9,23.7,22.7,-8.2,1.3,0.62,0.26
Calm,Closing,Orange,7.0,90,24.4,15.6,23.7,22.7,0.8,-7.1,1.51,-0.44
Calm,Closing,Orange,8.0,94,18.1,18.1,23.7,22.7,-5.6,-4.6,0.96,-0.03
Calm,Closing,Orange,9.0,126,28.6,28.6,23.7,22.7,4.9,5.9,0.96,0.14
Calm,Closing,Purple,1.0,55,21.8,23.6,23.7,22.7,-1.8,1.0,0.88,-0.04
Calm,Closing,Purple,2.0,104,25.0,20.2,23.7,22.7,1.3,-2.5,1.19,0.02
Calm,Closing,Purple,3.0,92,19.6,20.7,23.7,22.7,-4.1,-2.0,0.91,0.16
Calm,Closing,Purple,4.0,52,26.9,25.0,23.7,22.7,3.3,2.3,1.03,0.09
Calm,Closing,Purple,5.0,54,27.8,22.2,23.7,22.7,4.1,-0.5,1.2,0.04
Calm,Closing,Purple,6.0,56,21.4,19.6,23.7,22.7,-2.2,-3.0,1.05,-0.12
Calm,Closing,Purple,7.0,79,32.9,17.7,23.7,22.7,9.2,-5.0,1.78,-0.66
Calm,Closing,Purple,8.0,79,24.1,19.0,23.7,22.7,0.4,-3.7,1.21,-0.44
Calm,Closing,Purple,9.0,76,28.9,15.8,23.7,22.7,5.3,-6.9,1.76,-0.54
Calm,Closing,Yellow,1.0,155,29.0,18.7,23.7,22.7,5.4,-4.0,1.49,-0.42
Calm,Closing,Yellow,2.0,251,21.1,26.3,23.7,22.7,-2.5,3.6,0.77,0.2
Calm,Closing,Yellow,3.0,219,27.4,19.2,23.7,22.7,3.7,-3.5,1.37,-0.26
Calm,Closing,Yellow,4.0,150,25.3,21.3,23.7,22.7,1.7,-1.4,1.14,-0.14
Calm,Closing,Yellow,5.0,120,24.2,21.7,23.7,22.7,0.5,-1.0,1.07,-0.04
Calm,Closing,Yellow,6.0,125,26.4,23.2,23.7,22.7,2.7,0.5,1.09,-0.06
Calm,Closing,Yellow,7.0,180,19.4,27.2,23.7,22.7,-4.2,4.5,0.68,0.28
Calm,Closing,Yellow,8.0,195,21.5,23.1,23.7,22.7,-2.1,0.4,0.89,0.2
Calm,Closing,Yellow,9.0,161,20.5,22.4,23.7,22.7,-3.2,-0.3,0.88,0.27
Calm,Mixed,Yellow,1.0,37,37.8,32.4,33.0,22.3,4.8,10.1,0.79,0.54
