condition,round_type,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,0,0,490,17.6,34.1,23.1,23.8,-5.5,10.3,0.53,0.79
Calm,Closing,0,25,37,21.6,18.9,23.1,23.8,-1.5,-4.9,1.18,0.08
Calm,Closing,25,25,194,22.7,21.6,23.1,23.8,-0.4,-2.1,1.08,0.11
Calm,Closing,25,50,943,24.2,22.0,23.1,23.8,1.1,-1.8,1.13,-0.09
Calm,Closing,25,75,407,23.1,24.1,23.1,23.8,0.0,0.3,0.99,0.04
Calm,Closing,50,25,90,28.9,17.8,23.1,23.8,5.8,-6.0,1.67,-0.39
Calm,Closing,50,50,1561,24.2,22.7,23.1,23.8,1.1,-1.0,1.09,0.01
Calm,Closing,50,75,988,22.1,22.9,23.1,23.8,-1.0,-0.9,0.99,-0.02
Calm,Closing,75,50,432,25.0,23.6,23.1,23.8,1.9,-0.2,1.09,-0.01
Calm,Closing,75,75,59,20.3,28.8,23.1,23.8,-2.8,5.0,0.73,0.04
Calm,Elimination,25,50,84,27.4,22.6,27.3,18.0,0.0,4.7,0.8,0.17
Calm,Elimination,25,75,54,35.2,18.5,27.3,18.0,7.8,0.6,1.25,-0.38
Calm,Elimination,50,50,114,24.6,22.8,27.3,18.0,-2.8,4.8,0.71,0.21
Calm,Elimination,50,75,71,19.7,12.7,27.3,18.0,-7.6,-5.3,1.02,0.18
Calm,Mixed,0,0,152,24.3,33.6,31.8,23.8,-7.5,9.8,0.54,0.85
Calm,Mixed,25,25,86,29.1,24.4,31.8,23.8,-2.8,0.7,0.89,0.21
Calm,Mixed,25,50,107,35.5,23.4,31.8,23.8,3.7,-0.4,1.13,-0.49
Calm,Mixed,25,75,55,34.5,18.2,31.8,23.8,2.7,-5.6,1.42,-0.35
Calm,Mixed,50,50,330,30.9,25.5,31.8,23.8,-0.9,1.7,0.91,0.12
Calm,Mixed,50,75,243,32.5,21.0,31.8,23.8,0.7,-2.8,1.16,-0.08
Calm,Mixed,75,50,58,39.7,20.7,31.8,23.8,7.8,-3.1,1.43,-0.38
Calm,Mixed,75,75,30,53.3,6.7,31.8,23.8,21.5,-17.1,5.97,-2.08
Calm,Open,0,0,1375,14.3,36.4,26.4,23.1,-12.1,13.3,0.34,1.42
Calm,Open,0,25,34,52.9,17.6,26.4,23.1,26.5,-5.5,2.62,-0.81
Calm,Open,25,25,244,30.7,18.0,26.4,23.1,4.3,-5.1,1.49,-0.38
Calm,Open,25,50,1612,28.7,19.3,26.4,23.1,2.3,-3.8,1.3,-0.27
Calm,Open,25,75,1039,27.8,22.3,26.4,23.1,1.4,-0.8,1.09,-0.1
Calm,Open,50,25,110,33.6,16.4,26.4,23.1,7.2,-6.7,1.8,-0.52
Calm,Open,50,50,2872,29.1,20.9,26.4,23.1,2.7,-2.3,1.22,-0.26
Calm,Open,50,75,1544,27.1,22.2,26.4,23.1,0.7,-0.9,1.07,-0.12
Calm,Open,75,50,760,25.4,21.8,26.4,23.1,-1.0,-1.3,1.02,0.05
Calm,Open,75,75,37,45.9,13.5,26.4,23.1,19.5,-9.6,2.97,-1.09
Calm,Positioning,0,0,449,15.6,34.1,24.2,22.6,-8.6,11.4,0.43,0.98
Calm,Positioning,25,25,262,26.7,19.8,24.2,22.6,2.6,-2.8,1.26,-0.3
Calm,Positioning,25,50,828,26.0,21.9,24.2,22.6,1.8,-0.8,1.11,-0.09
Calm,Positioning,25,75,568,22.5,22.5,24.2,22.6,-1.6,-0.1,0.94,0.03
Calm,Positioning,50,25,58,29.3,32.8,24.2,22.6,5.1,10.1,0.84,0.04
Calm,Positioning,50,50,1734,24.9,20.9,24.2,22.6,0.7,-1.8,1.12,-0.16
Calm,Positioning,50,75,1079,24.5,20.9,24.2,22.6,0.3,-1.8,1.1,-0.07
Calm,Positioning,75,50,418,24.4,24.6,24.2,22.6,0.2,2.0,0.93,0.13
Calm,REMOVE,0,0,774,29.3,32.7,26.5,30.3,2.8,2.4,1.03,-0.08
Calm,REMOVE,25,25,113,24.8,28.3,26.5,30.3,-1.7,-2.0,1.0,0.18
Calm,REMOVE,25,50,474,24.3,29.3,26.5,30.3,-2.2,-1.0,0.95,0.25
Calm,REMOVE,25,75,162,20.4,29.6,26.5,30.3,-6.1,-0.7,0.79,0.41
Calm,REMOVE,50,25,42,38.1,21.4,26.5,30.3,11.6,-8.9,2.03,-0.83
Calm,REMOVE,50,50,842,26.2,31.1,26.5,30.3,-0.2,0.8,0.97,0.36
Calm,REMOVE,50,75,731,25.0,30.1,26.5,30.3,-1.4,-0.2,0.95,0.29
Calm,REMOVE,75,50,252,29.4,26.2,26.5,30.3,2.9,-4.1,1.28,-0.02
Calm,Survival,0,0,1015,14.0,41.3,24.7,25.4,-10.7,15.9,0.35,1.48
Calm,Survival,0,50,30,43.3,23.3,24.7,25.4,18.6,-2.1,1.91,-0.47
Calm,Survival,25,25,214,29.0,22.9,24.7,25.4,4.3,-2.5,1.3,-0.04
Calm,Survival,25,50,1073,26.4,19.4,24.7,25.4,1.7,-6.0,1.4,-0.24
Calm,Survival,25,75,681,28.5,22.5,24.7,25.4,3.8,-2.9,1.3,-0.09
Calm,Survival,50,25,60,21.7,23.3,24.7,25.4,-3.0,-2.1,0.95,-0.02
Calm,Survival,50,50,1947,25.9,23.0,24.7,25.4,1.2,-2.4,1.16,-0.01
Calm,Survival,50,75,1125,27.0,23.9,24.7,25.4,2.3,-1.5,1.16,-0.08
Calm,Survival,75,50,499,25.1,24.8,24.7,25.4,0.4,-0.5,1.04,-0.01
Calm,Survival,75,75,59,25.4,18.6,24.7,25.4,0.7,-6.7,1.4,-0.25
Moderate,Closing,0,0,278,16.2,31.7,25.6,21.9,-9.4,9.8,0.44,0.89
Moderate,Closing,0,25,33,39.4,15.2,25.6,21.9,13.8,-6.7,2.22,-1.11
Moderate,Closing,25,25,177,23.2,19.2,25.6,21.9,-2.5,-2.6,1.03,0.31
Moderate,Closing,25,50,460,27.8,20.4,25.6,21.9,2.2,-1.4,1.16,-0.19
Moderate,Closing,25,75,342,27.5,21.1,25.6,21.9,1.9,-0.8,1.11,-0.15
Moderate,Closing,50,25,57,22.8,21.1,25.6,21.9,-2.8,-0.8,0.92,0.07
Moderate,Closing,50,50,910,26.4,21.4,25.6,21.9,0.8,-0.4,1.05,-0.2
Moderate,Closing,50,75,576,28.1,21.4,25.6,21.9,2.5,-0.5,1.12,-0.24
Moderate,Closing,75,50,265,21.9,20.4,25.6,21.9,-3.7,-1.5,0.92,0.03
Moderate,Mixed,25,50,61,16.4,32.8,11.0,37.0,5.4,-4.2,1.68,0.55
Moderate,Mixed,50,75,64,9.4,37.5,11.0,37.0,-1.7,0.5,0.84,1.13
Moderate,Open,0,0,1107,15.3,41.4,25.1,24.7,-9.8,16.7,0.36,1.36
Moderate,Open,0,50,43,20.9,16.3,25.1,24.7,-4.2,-8.4,1.27,-0.24
Moderate,Open,25,25,249,30.5,21.7,25.1,24.7,5.4,-3.0,1.39,-0.41
Moderate,Open,25,50,924,25.9,22.3,25.1,24.7,0.8,-2.4,1.14,-0.07
Moderate,Open,25,75,454,27.5,21.1,25.1,24.7,2.4,-3.6,1.28,-0.14
Moderate,Open,50,25,131,28.2,18.3,25.1,24.7,3.1,-6.4,1.52,-0.57
Moderate,Open,50,50,1943,27.5,21.6,25.1,24.7,2.4,-3.1,1.25,-0.23
Moderate,Open,50,75,1179,26.7,20.0,25.1,24.7,1.6,-4.7,1.31,-0.14
Moderate,Open,75,50,675,26.5,23.3,25.1,24.7,1.4,-1.5,1.12,-0.14
Moderate,Positioning,0,0,270,18.5,28.1,25.4,21.9,-6.9,6.2,0.57,0.63
Moderate,Positioning,25,25,156,25.6,17.3,25.4,21.9,0.3,-4.6,1.28,-0.11
Moderate,Positioning,25,50,372,27.2,23.9,25.4,21.9,1.8,2.0,0.98,-0.08
Moderate,Positioning,25,75,311,22.5,24.8,25.4,21.9,-2.9,2.8,0.79,0.12
Moderate,Positioning,50,25,94,25.5,17.0,25.4,21.9,0.2,-4.9,1.3,-0.18
Moderate,Positioning,50,50,752,26.1,18.5,25.4,21.9,0.7,-3.5,1.22,-0.17
Moderate,Positioning,50,75,511,27.0,22.1,25.4,21.9,1.6,0.2,1.06,-0.04
Moderate,Positioning,75,50,252,27.8,24.2,25.4,21.9,2.4,2.3,0.99,0.04
Moderate,REMOVE,0,0,55,9.1,36.4,21.8,27.1,-12.7,9.3,0.31,1.22
Moderate,REMOVE,25,25,43,30.2,18.6,21.8,27.1,8.4,-8.5,2.02,-0.45
Moderate,REMOVE,25,50,55,29.1,20.0,21.8,27.1,7.3,-7.1,1.81,-0.14
Moderate,REMOVE,25,75,33,45.5,9.1,21.8,27.1,23.6,-18.0,6.21,-0.62
Moderate,REMOVE,50,50,160,16.3,33.1,21.8,27.1,-5.6,6.0,0.61,0.86
Moderate,REMOVE,50,75,162,21.0,27.8,21.8,27.1,-0.8,0.7,0.94,0.47
Moderate,REMOVE,75,50,60,25.0,23.3,21.8,27.1,3.2,-3.8,1.33,-0.17
Moderate,Survival,0,0,1255,13.8,40.9,23.5,27.2,-9.7,13.7,0.39,1.48
Moderate,Survival,25,25,221,24.9,26.7,23.5,27.2,1.4,-0.5,1.08,0.17
Moderate,Survival,25,50,1135,25.9,25.4,23.5,27.2,2.4,-1.8,1.18,-0.0
Moderate,Survival,25,75,569,28.6,22.5,23.5,27.2,5.1,-4.7,1.47,-0.34
Moderate,Survival,50,25,136,26.5,22.8,23.5,27.2,3.0,-4.4,1.34,0.12
Moderate,Survival,50,50,2381,25.5,23.8,23.5,27.2,2.0,-3.4,1.24,0.02
Moderate,Survival,50,75,1236,23.0,26.1,23.5,27.2,-0.5,-1.1,1.02,0.26
Moderate,Survival,75,50,571,26.3,24.5,23.5,27.2,2.8,-2.7,1.24,-0.09
Tough,Closing,50,50,134,32.1,28.4,29.6,26.3,2.5,2.1,1.01,-0.15
Tough,Closing,50,75,66,27.3,21.2,29.6,26.3,-2.3,-5.1,1.14,-0.34
Tough,Open,0,0,42,7.1,38.1,20.1,25.5,-13.0,12.6,0.24,1.42
Tough,Open,25,50,94,22.3,20.2,20.1,25.5,2.2,-5.3,1.4,-0.36
Tough,Open,25,75,53,18.9,13.2,20.1,25.5,-1.2,-12.3,1.81,-0.5
Tough,Open,50,50,143,20.3,23.1,20.1,25.5,0.2,-2.4,1.11,-0.22
Tough,Open,50,75,191,23.0,29.3,20.1,25.5,2.9,3.8,1.0,0.07
Tough,Positioning,0,0,48,25.0,37.5,26.1,23.5,-1.1,14.0,0.6,0.96
Tough,Positioning,25,50,84,34.5,23.8,26.1,23.5,8.5,0.3,1.31,-0.01
Tough,Positioning,25,75,49,26.5,22.4,26.1,23.5,0.5,-1.0,1.07,0.28
Tough,Positioning,50,50,178,23.6,21.9,26.1,23.5,-2.5,-1.6,0.97,0.2
