condition,round_type,exec_bucket,upside_bucket,chinese_zodiac,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,50,Horse,30,23.3,30.0,25.2,22.9,-1.9,7.1,0.71,0.16
Calm,Closing,25,50,Monkey,34,32.4,29.4,25.2,22.9,7.2,6.5,1.0,-0.33
Calm,Closing,25,50,Pig,45,24.4,22.2,25.2,22.9,-0.7,-0.7,1.0,0.08
Calm,Closing,25,50,Rabbit,43,27.9,27.9,25.2,22.9,2.7,5.0,0.91,-0.06
Calm,Closing,25,50,Rat,43,23.3,23.3,25.2,22.9,-1.9,0.3,0.91,0.06
Calm,Closing,25,50,Rooster,37,27.0,29.7,25.2,22.9,1.8,6.8,0.83,-0.14
Calm,Closing,25,50,Snake,43,27.9,23.3,25.2,22.9,2.7,0.3,1.09,-0.14
Calm,Closing,25,50,Tiger,39,28.2,30.8,25.2,22.9,3.0,7.8,0.83,0.21
Calm,Closing,50,50,Dog,38,18.4,23.7,25.2,22.9,-6.8,0.8,0.71,0.09
Calm,Closing,50,50,Dragon,47,17.0,19.1,25.2,22.9,-8.2,-3.8,0.81,0.32
Calm,Closing,50,50,Goat,38,15.8,18.4,25.2,22.9,-9.4,-4.5,0.78,0.03
Calm,Closing,50,50,Horse,56,25.0,26.8,25.2,22.9,-0.2,3.9,0.85,-0.03
Calm,Closing,50,50,Monkey,68,27.9,22.1,25.2,22.9,2.7,-0.9,1.15,-0.23
Calm,Closing,50,50,Ox,43,34.9,14.0,25.2,22.9,9.7,-9.0,2.28,-1.11
Calm,Closing,50,50,Pig,65,21.5,23.1,25.2,22.9,-3.7,0.1,0.85,0.21
Calm,Closing,50,50,Rabbit,62,19.4,14.5,25.2,22.9,-5.8,-8.4,1.21,-0.33
Calm,Closing,50,50,Rat,79,24.1,20.3,25.2,22.9,-1.1,-2.7,1.08,-0.12
Calm,Closing,50,50,Rooster,73,24.7,17.8,25.2,22.9,-0.5,-5.1,1.26,-0.23
Calm,Closing,50,50,Snake,81,24.7,19.8,25.2,22.9,-0.5,-3.2,1.14,-0.12
Calm,Closing,50,50,Tiger,51,25.5,27.5,25.2,22.9,0.3,4.5,0.85,-0.01
Calm,Closing,50,75,Dragon,36,16.7,30.6,25.2,22.9,-8.5,7.6,0.5,0.81
Calm,Closing,50,75,Horse,41,34.1,22.0,25.2,22.9,9.0,-1.0,1.42,-0.36
Calm,Closing,50,75,Monkey,45,20.0,22.2,25.2,22.9,-5.2,-0.7,0.82,-0.3
Calm,Closing,50,75,Ox,32,28.1,21.9,25.2,22.9,2.9,-1.1,1.17,-0.33
Calm,Closing,50,75,Pig,46,23.9,26.1,25.2,22.9,-1.3,3.2,0.83,0.13
Calm,Closing,50,75,Rabbit,41,24.4,29.3,25.2,22.9,-0.8,6.3,0.76,0.28
Calm,Closing,50,75,Rat,52,30.8,21.2,25.2,22.9,5.6,-1.8,1.32,-0.49
Calm,Closing,50,75,Rooster,52,23.1,21.2,25.2,22.9,-2.1,-1.8,0.99,-0.05
Calm,Closing,50,75,Snake,43,18.6,18.6,25.2,22.9,-6.6,-4.3,0.91,0.06
Calm,Closing,50,75,Tiger,37,18.9,21.6,25.2,22.9,-6.3,-1.3,0.8,-0.01
Calm,Open,25,50,Dog,37,37.8,16.2,28.4,22.9,9.4,-6.6,1.88,-1.12
Calm,Open,25,50,Dragon,60,28.3,23.3,28.4,22.9,-0.1,0.5,0.98,-0.18
Calm,Open,25,50,Goat,35,20.0,34.3,28.4,22.9,-8.4,11.4,0.47,0.55
Calm,Open,25,50,Horse,85,29.4,20.0,28.4,22.9,1.0,-2.9,1.18,-0.44
Calm,Open,25,50,Monkey,73,37.0,23.3,28.4,22.9,8.6,0.4,1.28,-0.08
Calm,Open,25,50,Ox,54,31.5,24.1,28.4,22.9,3.1,1.2,1.05,-0.09
Calm,Open,25,50,Pig,73,38.4,23.3,28.4,22.9,10.0,0.4,1.33,-0.62
Calm,Open,25,50,Rabbit,69,30.4,18.8,28.4,22.9,2.0,-4.0,1.3,-0.49
Calm,Open,25,50,Rat,94,33.0,24.5,28.4,22.9,4.6,1.6,1.08,-0.23
Calm,Open,25,50,Rooster,76,22.4,17.1,28.4,22.9,-6.0,-5.7,1.05,-0.25
Calm,Open,25,50,Snake,59,33.9,16.9,28.4,22.9,5.5,-5.9,1.61,-0.74
Calm,Open,25,50,Tiger,65,20.0,29.2,28.4,22.9,-8.4,6.4,0.55,0.11
Calm,Open,25,75,Monkey,34,38.2,11.8,28.4,22.9,9.8,-11.1,2.62,-0.92
Calm,Open,25,75,Rabbit,39,15.4,35.9,28.4,22.9,-13.0,13.0,0.34,0.91
Calm,Open,25,75,Rat,35,31.4,17.1,28.4,22.9,3.0,-5.7,1.48,-0.8
Calm,Open,25,75,Rooster,41,26.8,24.4,28.4,22.9,-1.6,1.5,0.89,0.11
Calm,Open,25,75,Snake,36,41.7,11.1,28.4,22.9,13.3,-11.7,3.02,-1.31
Calm,Open,25,75,Tiger,35,22.9,20.0,28.4,22.9,-5.5,-2.9,0.92,-0.06
Calm,Open,50,50,Dog,88,26.1,17.0,28.4,22.9,-2.3,-5.8,1.23,-0.55
Calm,Open,50,50,Dragon,120,22.5,28.3,28.4,22.9,-5.9,5.5,0.64,0.32
Calm,Open,50,50,Goat,82,22.0,36.6,28.4,22.9,-6.4,13.7,0.48,1.02
Calm,Open,50,50,Horse,136,30.9,21.3,28.4,22.9,2.5,-1.5,1.17,-0.4
Calm,Open,50,50,Monkey,125,28.0,19.2,28.4,22.9,-0.4,-3.7,1.17,-0.46
Calm,Open,50,50,Ox,99,18.2,29.3,28.4,22.9,-10.2,6.4,0.5,0.41
Calm,Open,50,50,Pig,155,28.4,18.1,28.4,22.9,-0.0,-4.8,1.26,-0.36
Calm,Open,50,50,Rabbit,144,25.7,31.3,28.4,22.9,-2.7,8.4,0.66,0.28
Calm,Open,50,50,Rat,168,30.4,19.0,28.4,22.9,2.0,-3.8,1.28,-0.36
Calm,Open,50,50,Rooster,132,29.5,20.5,28.4,22.9,1.2,-2.4,1.16,-0.47
Calm,Open,50,50,Snake,161,23.6,22.4,28.4,22.9,-4.8,-0.5,0.85,0.05
Calm,Open,50,50,Tiger,128,32.8,25.8,28.4,22.9,4.4,2.9,1.02,-0.07
Calm,Open,50,75,Dog,55,32.7,29.1,28.4,22.9,4.3,6.2,0.91,0.09
Calm,Open,50,75,Dragon,73,23.3,30.1,28.4,22.9,-5.1,7.3,0.62,0.38
Calm,Open,50,75,Goat,46,19.6,23.9,28.4,22.9,-8.8,1.1,0.66,0.3
Calm,Open,50,75,Horse,74,33.8,28.4,28.4,22.9,5.4,5.5,0.96,0.04
Calm,Open,50,75,Monkey,68,26.5,23.5,28.4,22.9,-1.9,0.7,0.91,0.11
Calm,Open,50,75,Ox,50,28.0,16.0,28.4,22.9,-0.4,-6.9,1.41,-0.26
Calm,Open,50,75,Pig,68,39.7,14.7,28.4,22.9,11.3,-8.1,2.17,-1.04
Calm,Open,50,75,Rabbit,73,32.9,21.9,28.4,22.9,4.5,-0.9,1.21,-0.52
Calm,Open,50,75,Rat,96,42.7,18.8,28.4,22.9,14.3,-4.1,1.83,-0.53
Calm,Open,50,75,Rooster,74,33.8,16.2,28.4,22.9,5.4,-6.6,1.68,-0.52
Calm,Open,50,75,Snake,74,33.8,18.9,28.4,22.9,5.4,-3.9,1.44,-0.36
Calm,Open,50,75,Tiger,64,26.6,18.8,28.4,22.9,-1.8,-4.1,1.14,-0.32
Calm,Open,75,50,Monkey,35,25.7,14.3,28.4,22.9,-2.7,-8.6,1.45,-0.32
Calm,Open,75,50,Pig,54,25.9,22.2,28.4,22.9,-2.5,-0.6,0.94,0.12
Calm,Open,75,50,Rabbit,38,23.7,15.8,28.4,22.9,-4.7,-7.1,1.21,-0.5
Calm,Open,75,50,Rat,47,23.4,29.8,28.4,22.9,-5.0,6.9,0.63,0.27
Calm,Positioning,25,50,Horse,30,6.7,16.7,23.1,22.9,-16.5,-6.3,0.4,0.2
Calm,Positioning,25,50,Ox,30,30.0,10.0,23.1,22.9,6.9,-12.9,2.98,-0.53
Calm,Positioning,25,50,Pig,43,34.9,20.9,23.1,22.9,11.8,-2.0,1.65,-0.63
Calm,Positioning,25,50,Rabbit,35,28.6,14.3,23.1,22.9,5.4,-8.7,1.98,-0.68
Calm,Positioning,25,50,Rat,33,27.3,30.3,23.1,22.9,4.1,7.4,0.89,0.13
Calm,Positioning,25,50,Rooster,47,23.4,31.9,23.1,22.9,0.3,9.0,0.73,0.29
Calm,Positioning,25,50,Snake,43,18.6,18.6,23.1,22.9,-4.5,-4.3,0.99,-0.34
Calm,Positioning,25,50,Tiger,33,12.1,42.4,23.1,22.9,-11.0,19.5,0.28,0.72
Calm,Positioning,25,75,Rat,34,26.5,20.6,23.1,22.9,3.3,-2.4,1.28,-0.04
Calm,Positioning,50,50,Dragon,51,21.6,29.4,23.1,22.9,-1.6,6.5,0.73,0.45
Calm,Positioning,50,50,Goat,37,10.8,35.1,23.1,22.9,-12.3,12.2,0.31,1.46
Calm,Positioning,50,50,Horse,60,25.0,16.7,23.1,22.9,1.9,-6.3,1.49,-0.26
Calm,Positioning,50,50,Monkey,71,29.6,22.5,23.1,22.9,6.4,-0.4,1.3,-0.25
Calm,Positioning,50,50,Ox,41,26.8,22.0,23.1,22.9,3.7,-1.0,1.21,0.03
Calm,Positioning,50,50,Pig,61,26.2,19.7,23.1,22.9,3.1,-3.3,1.32,-0.25
Calm,Positioning,50,50,Rabbit,54,25.9,14.8,23.1,22.9,2.8,-8.1,1.74,-0.55
Calm,Positioning,50,50,Rat,75,32.0,30.7,23.1,22.9,8.9,7.7,1.04,-0.1
Calm,Positioning,50,50,Rooster,70,18.6,35.7,23.1,22.9,-4.6,12.8,0.52,0.58
Calm,Positioning,50,50,Snake,58,31.0,17.2,23.1,22.9,7.9,-5.7,1.79,-0.68
Calm,Positioning,50,50,Tiger,62,24.2,30.6,23.1,22.9,1.1,7.7,0.78,0.27
Calm,Positioning,50,75,Dog,33,21.2,24.2,23.1,22.9,-1.9,1.3,0.87,-0.01
Calm,Positioning,50,75,Dragon,31,16.1,25.8,23.1,22.9,-7.0,2.9,0.62,0.15
Calm,Positioning,50,75,Horse,48,20.8,18.8,23.1,22.9,-2.3,-4.2,1.1,0.02
Calm,Positioning,50,75,Monkey,55,20.0,16.4,23.1,22.9,-3.1,-6.6,1.21,-0.28
Calm,Positioning,50,75,Ox,42,11.9,21.4,23.1,22.9,-11.2,-1.5,0.55,0.49
Calm,Positioning,50,75,Pig,51,19.6,27.5,23.1,22.9,-3.5,4.5,0.71,0.42
Calm,Positioning,50,75,Rabbit,46,23.9,13.0,23.1,22.9,0.8,-9.9,1.82,0.02
Calm,Positioning,50,75,Rat,51,11.8,27.5,23.1,22.9,-11.4,4.5,0.43,0.66
Calm,Positioning,50,75,Rooster,46,17.4,37.0,23.1,22.9,-5.7,14.0,0.47,0.88
Calm,Positioning,50,75,Snake,51,29.4,17.6,23.1,22.9,6.3,-5.3,1.65,-0.46
Calm,Positioning,50,75,Tiger,40,25.0,25.0,23.1,22.9,1.9,2.1,0.99,0.39
Calm,Positioning,75,50,Rat,32,28.1,12.5,23.1,22.9,5.0,-10.4,2.23,-0.02
Calm,REMOVE,25,50,Rat,37,35.1,10.8,27.0,28.2,8.2,-17.4,3.4,-1.09
Calm,REMOVE,25,50,Snake,32,18.8,31.3,27.0,28.2,-8.2,3.0,0.63,1.2
Calm,REMOVE,50,50,Dragon,33,21.2,36.4,27.0,28.2,-5.8,8.1,0.61,0.85
Calm,REMOVE,50,50,Goat,30,23.3,23.3,27.0,28.2,-3.6,-4.9,1.05,-0.4
Calm,REMOVE,50,50,Horse,35,20.0,34.3,27.0,28.2,-7.0,6.1,0.61,0.75
Calm,REMOVE,50,50,Monkey,33,30.3,24.2,27.0,28.2,3.3,-4.0,1.31,-0.01
Calm,REMOVE,50,50,Pig,42,23.8,45.2,27.0,28.2,-3.2,17.0,0.55,1.32
Calm,REMOVE,50,50,Rabbit,37,40.5,32.4,27.0,28.2,13.6,4.2,1.31,-0.27
Calm,REMOVE,50,50,Rat,46,30.4,34.8,27.0,28.2,3.5,6.6,0.92,0.3
Calm,REMOVE,50,50,Rooster,37,27.0,21.6,27.0,28.2,0.1,-6.6,1.31,-0.39
Calm,REMOVE,50,50,Snake,32,15.6,25.0,27.0,28.2,-11.3,-3.2,0.65,0.2
Calm,REMOVE,50,50,Tiger,33,30.3,27.3,27.0,28.2,3.3,-1.0,1.16,-0.03
Calm,REMOVE,50,75,Rabbit,30,30.0,30.0,27.0,28.2,3.0,1.8,1.05,-0.45
Calm,REMOVE,50,75,Snake,32,18.8,28.1,27.0,28.2,-8.2,-0.1,0.7,-0.45
Calm,Survival,25,50,Dog,40,20.0,27.5,25.8,22.1,-5.8,5.4,0.62,0.34
Calm,Survival,25,50,Dragon,41,26.8,29.3,25.8,22.1,1.0,7.1,0.79,0.23
Calm,Survival,25,50,Goat,30,40.0,26.7,25.8,22.1,14.2,4.5,1.29,-0.57
Calm,Survival,25,50,Horse,46,30.4,15.2,25.8,22.1,4.6,-6.9,1.71,-0.46
Calm,Survival,25,50,Monkey,55,23.6,14.5,25.8,22.1,-2.2,-7.6,1.39,0.04
Calm,Survival,25,50,Ox,39,35.9,23.1,25.8,22.1,10.1,0.9,1.33,-0.22
Calm,Survival,25,50,Pig,71,28.2,25.4,25.8,22.1,2.4,3.2,0.95,-0.06
Calm,Survival,25,50,Rabbit,68,30.9,20.6,25.8,22.1,5.1,-1.5,1.29,-0.22
Calm,Survival,25,50,Rat,74,23.0,16.2,25.8,22.1,-2.8,-5.9,1.21,-0.09
Calm,Survival,25,50,Rooster,50,34.0,16.0,25.8,22.1,8.2,-6.1,1.82,-0.47
Calm,Survival,25,50,Snake,56,14.3,23.2,25.8,22.1,-11.5,1.1,0.53,0.35
Calm,Survival,25,50,Tiger,48,29.2,16.7,25.8,22.1,3.3,-5.5,1.5,-0.4
Calm,Survival,25,75,Dragon,32,21.9,25.0,25.8,22.1,-3.9,2.9,0.75,0.06
Calm,Survival,25,75,Horse,31,29.0,22.6,25.8,22.1,3.2,0.4,1.1,-0.15
Calm,Survival,25,75,Monkey,45,22.2,24.4,25.8,22.1,-3.6,2.3,0.78,0.41
Calm,Survival,25,75,Ox,31,29.0,19.4,25.8,22.1,3.2,-2.8,1.29,-0.32
Calm,Survival,25,75,Pig,44,20.5,18.2,25.8,22.1,-5.4,-4.0,0.96,-0.01
Calm,Survival,25,75,Rabbit,52,34.6,13.5,25.8,22.1,8.8,-8.7,2.2,-0.56
Calm,Survival,25,75,Rat,45,24.4,31.1,25.8,22.1,-1.4,9.0,0.67,0.45
Calm,Survival,25,75,Rooster,43,30.2,23.3,25.8,22.1,4.4,1.1,1.11,-0.49
Calm,Survival,25,75,Snake,44,31.8,15.9,25.8,22.1,6.0,-6.2,1.71,-0.61
Calm,Survival,25,75,Tiger,37,21.6,18.9,25.8,22.1,-4.2,-3.2,0.98,-0.11
Calm,Survival,50,50,Dog,48,37.5,18.8,25.8,22.1,11.7,-3.4,1.71,-0.53
Calm,Survival,50,50,Dragon,96,25.0,25.0,25.8,22.1,-0.8,2.9,0.86,0.25
Calm,Survival,50,50,Goat,53,32.1,18.9,25.8,22.1,6.3,-3.3,1.46,-0.42
Calm,Survival,50,50,Horse,104,26.9,18.3,25.8,22.1,1.1,-3.9,1.26,-0.32
Calm,Survival,50,50,Monkey,79,26.6,16.5,25.8,22.1,0.8,-5.7,1.38,-0.37
Calm,Survival,50,50,Ox,63,30.2,22.2,25.8,22.1,4.3,0.1,1.16,-0.32
Calm,Survival,50,50,Pig,94,25.5,14.9,25.8,22.1,-0.3,-7.2,1.47,-0.43
